method,explanation_type,n,accuracy,macro_f1,positive_f1,negative_f1
surface_keyword,wrong_source_token,700,1.0,0.5,0.0,1.0
surface_keyword,wrong_target,700,1.0,0.5,0.0,1.0
surface_keyword,wrong_operation,700,1.0,0.5,0.0,1.0
surface_keyword,wrong_direction,700,1.0,0.5,0.0,1.0
surface_keyword,wrong_error_type,700,1.0,0.5,0.0,1.0
surface_keyword,wrong_rule,700,1.0,0.5,0.0,1.0
surface_keyword,wrong_evidence,700,1.0,0.5,0.0,1.0
surface_keyword,swapped_across_sentence,700,0.99,0.49748743718592964,0.0,0.9949748743718593
surface_keyword,generic,700,1.0,0.5,0.0,1.0
surface_keyword,partially_correct,700,1.0,0.5,0.0,1.0
surface_keyword,faithful_wrong_model_edit,564,0.0,0.0,0.0,0.0
structured_explicit_extraction,explicit_template,700,0.9685714285714285,0.49201741654571846,0.9840348330914369,0.0
structured_explicit_extraction,masked_target_template,700,0.08,0.07407407407407407,0.14814814814814814,0.0
structured_explicit_extraction,rule_only,700,0.0,0.0,0.0,0.0
structured_explicit_extraction,gee_style_automatic,700,0.0,0.0,0.0,0.0
structured_explicit_extraction,rule_grounded_automatic,700,0.0,0.0,0.0,0.0
structured_explicit_extraction,wrong_span,700,1.0,0.5,0.0,1.0
structured_explicit_extraction,wrong_source_token,700,1.0,0.5,0.0,1.0
structured_explicit_extraction,wrong_target,700,0.9914285714285714,0.4978479196556671,0.0,0.9956958393113342
structured_explicit_extraction,wrong_operation,700,1.0,0.5,0.0,1.0
structured_explicit_extraction,wrong_direction,700,1.0,0.5,0.0,1.0
structured_explicit_extraction,wrong_error_type,700,1.0,0.5,0.0,1.0
structured_explicit_extraction,wrong_rule,700,1.0,0.5,0.0,1.0
structured_explicit_extraction,wrong_evidence,700,1.0,0.5,0.0,1.0
structured_explicit_extraction,swapped_across_sentence,700,1.0,0.5,0.0,1.0
structured_explicit_extraction,generic,700,1.0,0.5,0.0,1.0
structured_explicit_extraction,partially_correct,700,1.0,0.5,0.0,1.0
structured_explicit_extraction,faithful_wrong_model_edit,564,0.725177304964539,0.42034943473792397,0.8406988694758479,0.0
reverse_reconstruction,explicit_template,700,0.9714285714285714,0.49275362318840576,0.9855072463768115,0.0
reverse_reconstruction,masked_target_template,700,0.08285714285714285,0.07651715039577836,0.15303430079155672,0.0
reverse_reconstruction,rule_only,700,0.0,0.0,0.0,0.0
reverse_reconstruction,gee_style_automatic,700,0.0,0.0,0.0,0.0
reverse_reconstruction,rule_grounded_automatic,700,0.0,0.0,0.0,0.0
reverse_reconstruction,wrong_span,700,1.0,0.5,0.0,1.0
reverse_reconstruction,wrong_source_token,700,1.0,0.5,0.0,1.0
reverse_reconstruction,wrong_target,700,0.9914285714285714,0.4978479196556671,0.0,0.9956958393113342
reverse_reconstruction,wrong_operation,700,1.0,0.5,0.0,1.0
reverse_reconstruction,wrong_direction,700,1.0,0.5,0.0,1.0
reverse_reconstruction,wrong_error_type,700,1.0,0.5,0.0,1.0
reverse_reconstruction,wrong_rule,700,1.0,0.5,0.0,1.0
reverse_reconstruction,wrong_evidence,700,1.0,0.5,0.0,1.0
reverse_reconstruction,swapped_across_sentence,700,0.99,0.49748743718592964,0.0,0.9949748743718593
reverse_reconstruction,generic,700,1.0,0.5,0.0,1.0
reverse_reconstruction,partially_correct,700,1.0,0.5,0.0,1.0
reverse_reconstruction,faithful_wrong_model_edit,564,0.7287234042553191,0.42153846153846153,0.8430769230769231,0.0
no_source_reconstruction,explicit_template,700,0.9685714285714285,0.49201741654571846,0.9840348330914369,0.0
no_source_reconstruction,masked_target_template,700,0.08,0.07407407407407407,0.14814814814814814,0.0
no_source_reconstruction,rule_only,700,0.0,0.0,0.0,0.0
no_source_reconstruction,gee_style_automatic,700,0.0,0.0,0.0,0.0
no_source_reconstruction,rule_grounded_automatic,700,0.0,0.0,0.0,0.0
no_source_reconstruction,wrong_span,700,1.0,0.5,0.0,1.0
no_source_reconstruction,wrong_source_token,700,1.0,0.5,0.0,1.0
no_source_reconstruction,wrong_target,700,1.0,0.5,0.0,1.0
no_source_reconstruction,wrong_operation,700,1.0,0.5,0.0,1.0
no_source_reconstruction,wrong_direction,700,1.0,0.5,0.0,1.0
no_source_reconstruction,wrong_error_type,700,1.0,0.5,0.0,1.0
no_source_reconstruction,wrong_rule,700,1.0,0.5,0.0,1.0
no_source_reconstruction,wrong_evidence,700,1.0,0.5,0.0,1.0
no_source_reconstruction,swapped_across_sentence,700,1.0,0.5,0.0,1.0
no_source_reconstruction,generic,700,1.0,0.5,0.0,1.0
no_source_reconstruction,partially_correct,700,1.0,0.5,0.0,1.0
no_source_reconstruction,faithful_wrong_model_edit,564,0.0,0.0,0.0,0.0
target_masked_reconstruction,explicit_template,700,0.11142857142857143,0.10025706940874037,0.20051413881748073,0.0
target_masked_reconstruction,masked_target_template,700,0.08,0.07407407407407407,0.14814814814814814,0.0
target_masked_reconstruction,rule_only,700,0.0,0.0,0.0,0.0
target_masked_reconstruction,gee_style_automatic,700,0.0,0.0,0.0,0.0
target_masked_reconstruction,rule_grounded_automatic,700,0.0,0.0,0.0,0.0
target_masked_reconstruction,wrong_span,700,1.0,0.5,0.0,1.0
target_masked_reconstruction,wrong_source_token,700,1.0,0.5,0.0,1.0
target_masked_reconstruction,wrong_target,700,0.9914285714285714,0.4978479196556671,0.0,0.9956958393113342
target_masked_reconstruction,wrong_operation,700,1.0,0.5,0.0,1.0
target_masked_reconstruction,wrong_direction,700,1.0,0.5,0.0,1.0
target_masked_reconstruction,wrong_error_type,700,1.0,0.5,0.0,1.0
target_masked_reconstruction,wrong_rule,700,1.0,0.5,0.0,1.0
target_masked_reconstruction,wrong_evidence,700,1.0,0.5,0.0,1.0
target_masked_reconstruction,swapped_across_sentence,700,1.0,0.5,0.0,1.0
target_masked_reconstruction,generic,700,1.0,0.5,0.0,1.0
target_masked_reconstruction,partially_correct,700,1.0,0.5,0.0,1.0
target_masked_reconstruction,faithful_wrong_model_edit,564,0.06560283687943262,0.06156405990016639,0.12312811980033278,0.0
leakage_adjusted_reconstruction,explicit_template,700,0.0,0.0,0.0,0.0
leakage_adjusted_reconstruction,masked_target_template,700,0.0,0.0,0.0,0.0
leakage_adjusted_reconstruction,rule_only,700,0.0,0.0,0.0,0.0
leakage_adjusted_reconstruction,gee_style_automatic,700,0.0,0.0,0.0,0.0
leakage_adjusted_reconstruction,rule_grounded_automatic,700,0.0,0.0,0.0,0.0
leakage_adjusted_reconstruction,wrong_span,700,1.0,0.5,0.0,1.0
leakage_adjusted_reconstruction,wrong_source_token,700,1.0,0.5,0.0,1.0
leakage_adjusted_reconstruction,wrong_target,700,0.9914285714285714,0.4978479196556671,0.0,0.9956958393113342
leakage_adjusted_reconstruction,wrong_operation,700,1.0,0.5,0.0,1.0
leakage_adjusted_reconstruction,wrong_direction,700,1.0,0.5,0.0,1.0
leakage_adjusted_reconstruction,wrong_error_type,700,1.0,0.5,0.0,1.0
leakage_adjusted_reconstruction,wrong_rule,700,1.0,0.5,0.0,1.0
leakage_adjusted_reconstruction,wrong_evidence,700,1.0,0.5,0.0,1.0
leakage_adjusted_reconstruction,swapped_across_sentence,700,1.0,0.5,0.0,1.0
leakage_adjusted_reconstruction,generic,700,1.0,0.5,0.0,1.0
leakage_adjusted_reconstruction,partially_correct,700,1.0,0.5,0.0,1.0
leakage_adjusted_reconstruction,faithful_wrong_model_edit,564,0.7287234042553191,0.42153846153846153,0.8430769230769231,0.0
tfidf_embedding_similarity,explicit_template,700,1.0,0.5,1.0,0.0
tfidf_embedding_similarity,masked_target_template,700,0.9642857142857143,0.4909090909090909,0.9818181818181818,0.0
tfidf_embedding_similarity,rule_only,700,0.04857142857142857,0.04632152588555859,0.09264305177111717,0.0
tfidf_embedding_similarity,gee_style_automatic,700,0.12,0.10714285714285712,0.21428571428571425,0.0
tfidf_embedding_similarity,rule_grounded_automatic,700,0.4685714285714286,0.31906614785992216,0.6381322957198443,0.0
tfidf_embedding_similarity,wrong_span,700,1.0,0.5,0.0,1.0
tfidf_embedding_similarity,wrong_source_token,700,0.9457142857142857,0.48604992657856094,0.0,0.9720998531571219
tfidf_embedding_similarity,wrong_target,700,0.64,0.39024390243902435,0.0,0.7804878048780487
tfidf_embedding_similarity,wrong_operation,700,0.9985714285714286,0.4996426018584703,0.0,0.9992852037169406
tfidf_embedding_similarity,wrong_direction,700,0.3357142857142857,0.25133689839572193,0.0,0.5026737967914439
tfidf_embedding_similarity,wrong_error_type,700,0.5228571428571429,0.3433395872420263,0.0,0.6866791744840526
tfidf_embedding_similarity,wrong_rule,700,0.9971428571428571,0.4992846924177396,0.0,0.9985693848354792
tfidf_embedding_similarity,wrong_evidence,700,0.9814285714285714,0.49531362653208366,0.0,0.9906272530641673
tfidf_embedding_similarity,swapped_across_sentence,700,0.9585714285714285,0.4894237782640408,0.0,0.9788475565280816
tfidf_embedding_similarity,generic,700,0.9957142857142857,0.4989262705798139,0.0,0.9978525411596278
tfidf_embedding_similarity,partially_correct,700,0.84,0.4565217391304348,0.0,0.9130434782608696
tfidf_embedding_similarity,faithful_wrong_model_edit,564,0.7890070921985816,0.4410307234886026,0.8820614469772052,0.0
nli_lexical_proxy,explicit_template,700,0.9957142857142857,0.4989262705798139,0.9978525411596278,0.0
nli_lexical_proxy,masked_target_template,700,0.9957142857142857,0.4989262705798139,0.9978525411596278,0.0
nli_lexical_proxy,rule_only,700,0.3985714285714286,0.2849846782431052,0.5699693564862104,0.0
nli_lexical_proxy,gee_style_automatic,700,1.0,0.5,1.0,0.0
nli_lexical_proxy,rule_grounded_automatic,700,1.0,0.5,1.0,0.0
nli_lexical_proxy,wrong_span,700,0.0,0.0,0.0,0.0
nli_lexical_proxy,wrong_source_token,700,1.0,0.5,0.0,1.0
nli_lexical_proxy,wrong_target,700,0.0,0.0,0.0,0.0
nli_lexical_proxy,wrong_operation,700,0.0,0.0,0.0,0.0
nli_lexical_proxy,wrong_direction,700,1.0,0.5,0.0,1.0
nli_lexical_proxy,wrong_error_type,700,1.0,0.5,0.0,1.0
nli_lexical_proxy,wrong_rule,700,1.0,0.5,0.0,1.0
nli_lexical_proxy,wrong_evidence,700,1.0,0.5,0.0,1.0
nli_lexical_proxy,swapped_across_sentence,700,0.24571428571428572,0.19724770642201833,0.0,0.39449541284403666
nli_lexical_proxy,generic,700,1.0,0.5,0.0,1.0
nli_lexical_proxy,partially_correct,700,1.0,0.5,0.0,1.0
nli_lexical_proxy,faithful_wrong_model_edit,564,0.9946808510638298,0.49866666666666665,0.9973333333333333,0.0
rule_evidence_verifier,explicit_template,700,1.0,0.5,1.0,0.0
rule_evidence_verifier,masked_target_template,700,0.6271428571428571,0.3854258121158911,0.7708516242317822,0.0
rule_evidence_verifier,rule_only,700,0.72,0.41860465116279066,0.8372093023255813,0.0
rule_evidence_verifier,gee_style_automatic,700,0.72,0.41860465116279066,0.8372093023255813,0.0
rule_evidence_verifier,rule_grounded_automatic,700,0.72,0.41860465116279066,0.8372093023255813,0.0
rule_evidence_verifier,wrong_span,700,0.8214285714285714,0.45098039215686275,0.0,0.9019607843137255
rule_evidence_verifier,wrong_source_token,700,0.88,0.46808510638297873,0.0,0.9361702127659575
rule_evidence_verifier,wrong_target,700,0.9185714285714286,0.4787788533134773,0.0,0.9575577066269546
rule_evidence_verifier,wrong_operation,700,0.83,0.45355191256830596,0.0,0.9071038251366119
rule_evidence_verifier,wrong_direction,700,0.28,0.21875000000000003,0.0,0.43750000000000006
rule_evidence_verifier,wrong_error_type,700,0.6628571428571428,0.3986254295532646,0.0,0.7972508591065292
rule_evidence_verifier,wrong_rule,700,0.87,0.4652406417112299,0.0,0.9304812834224598
rule_evidence_verifier,wrong_evidence,700,1.0,0.5,0.0,1.0
rule_evidence_verifier,swapped_across_sentence,700,0.8371428571428572,0.4556765163297045,0.0,0.911353032659409
rule_evidence_verifier,generic,700,1.0,0.5,0.0,1.0
rule_evidence_verifier,partially_correct,700,0.6885714285714286,0.4077834179357022,0.0,0.8155668358714044
rule_evidence_verifier,faithful_wrong_model_edit,564,0.7216312056737588,0.4191555097837281,0.8383110195674562,0.0
no_rule_verifier,explicit_template,700,1.0,0.5,1.0,0.0
no_rule_verifier,masked_target_template,700,0.9985714285714286,0.4996426018584703,0.9992852037169406,0.0
no_rule_verifier,rule_only,700,0.16285714285714287,0.14004914004914007,0.28009828009828014,0.0
no_rule_verifier,gee_style_automatic,700,0.23857142857142857,0.19261822376009227,0.38523644752018454,0.0
no_rule_verifier,rule_grounded_automatic,700,0.7,0.4117647058823529,0.8235294117647058,0.0
no_rule_verifier,wrong_span,700,0.7657142857142857,0.4336569579288026,0.0,0.8673139158576052
no_rule_verifier,wrong_source_token,700,0.8314285714285714,0.453978159126365,0.0,0.90795631825273
no_rule_verifier,wrong_target,700,0.0,0.0,0.0,0.0
no_rule_verifier,wrong_operation,700,0.8342857142857143,0.45482866043613707,0.0,0.9096573208722741
no_rule_verifier,wrong_direction,700,0.0,0.0,0.0,0.0
no_rule_verifier,wrong_error_type,700,0.81,0.44751381215469616,0.0,0.8950276243093923
no_rule_verifier,wrong_rule,700,0.88,0.46808510638297873,0.0,0.9361702127659575
no_rule_verifier,wrong_evidence,700,1.0,0.5,0.0,1.0
no_rule_verifier,swapped_across_sentence,700,0.11428571428571428,0.10256410256410256,0.0,0.20512820512820512
no_rule_verifier,generic,700,1.0,0.5,0.0,1.0
no_rule_verifier,partially_correct,700,0.8442857142857143,0.45778466305189774,0.0,0.9155693261037955
no_rule_verifier,faithful_wrong_model_edit,564,1.0,0.5,1.0,0.0
no_evidence_verifier,explicit_template,700,1.0,0.5,1.0,0.0
no_evidence_verifier,masked_target_template,700,1.0,0.5,1.0,0.0
no_evidence_verifier,rule_only,700,0.72,0.41860465116279066,0.8372093023255813,0.0
no_evidence_verifier,gee_style_automatic,700,1.0,0.5,1.0,0.0
no_evidence_verifier,rule_grounded_automatic,700,0.72,0.41860465116279066,0.8372093023255813,0.0
no_evidence_verifier,wrong_span,700,1.0,0.5,0.0,1.0
no_evidence_verifier,wrong_source_token,700,1.0,0.5,0.0,1.0
no_evidence_verifier,wrong_target,700,1.0,0.5,0.0,1.0
no_evidence_verifier,wrong_operation,700,0.9414285714285714,0.48491537895511405,0.0,0.9698307579102281
no_evidence_verifier,wrong_direction,700,1.0,0.5,0.0,1.0
no_evidence_verifier,wrong_error_type,700,0.0,0.0,0.0,0.0
no_evidence_verifier,wrong_rule,700,0.87,0.4652406417112299,0.0,0.9304812834224598
no_evidence_verifier,wrong_evidence,700,1.0,0.5,0.0,1.0
no_evidence_verifier,swapped_across_sentence,700,0.7757142857142857,0.4368463395012067,0.0,0.8736926790024134
no_evidence_verifier,generic,700,1.0,0.5,0.0,1.0
no_evidence_verifier,partially_correct,700,0.0,0.0,0.0,0.0
no_evidence_verifier,faithful_wrong_model_edit,564,0.0,0.0,0.0,0.0
