candidate_id,before_evidence_contextual,after_evidence_contextual,before_missing_evidence,after_missing_evidence,before_wrong_evidence_auto,after_wrong_evidence_auto,before_prediction_only,after_prediction_only,before_risk_count,after_risk_count,actions
rf-edit-0123::qwen3_8b::rule_grounded::evidence_canonicalized,True,True,False,False,False,False,False,False,2,2,"{""added_left_context"": 1, ""added_modified_token_evidence"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0125::qwen3_8b::natural::evidence_canonicalized,True,True,False,False,False,False,False,False,3,3,"{""added_left_clause_context"": 1, ""added_right_clause_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0125::qwen3_8b::rule_grounded::evidence_canonicalized,False,True,True,False,True,False,True,False,6,3,"{""added_left_clause_context"": 1, ""added_right_clause_context"": 1}"
rf-edit-0126::qwen3_8b::natural::evidence_canonicalized,True,True,False,False,False,False,False,False,2,2,"{""added_left_context"": 1, ""added_modified_token_evidence"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0126::qwen3_8b::rule_grounded::evidence_canonicalized,True,True,False,False,False,False,False,False,2,2,"{""added_left_context"": 1, ""added_modified_token_evidence"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0127::qwen3_8b::natural::evidence_canonicalized,False,True,True,False,True,False,True,False,6,2,"{""added_preposition_complement"": 1, ""added_preposition_governor"": 1}"
rf-edit-0127::qwen3_8b::rule_grounded::evidence_canonicalized,False,True,True,False,True,False,True,False,6,2,"{""added_preposition_complement"": 1, ""added_preposition_governor"": 1}"
rf-edit-0129::qwen3_8b::natural::evidence_canonicalized,True,True,False,False,False,False,False,False,6,6,"{""added_modified_token_evidence"": 1, ""added_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0129::qwen3_8b::rule_grounded::evidence_canonicalized,True,True,False,False,False,False,False,False,6,6,"{""added_modified_token_evidence"": 1, ""added_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0137::qwen3_8b::natural::evidence_canonicalized,True,True,False,False,False,False,False,False,2,2,"{""added_modified_token_evidence"": 1, ""added_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0137::qwen3_8b::rule_grounded::evidence_canonicalized,True,True,False,False,False,False,False,False,2,2,"{""added_modified_token_evidence"": 1, ""added_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0138::qwen3_8b::natural::evidence_canonicalized,True,True,False,False,False,False,False,False,2,2,"{""added_modified_token_evidence"": 1, ""added_noun_left_context"": 1, ""added_noun_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0138::qwen3_8b::rule_grounded::evidence_canonicalized,True,True,False,False,False,False,False,False,2,2,"{""added_modified_token_evidence"": 1, ""added_noun_left_context"": 1, ""added_noun_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0141::qwen3_8b::natural::evidence_canonicalized,False,True,True,False,False,False,False,False,7,6,"{""added_left_context"": 1, ""added_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0141::qwen3_8b::rule_grounded::evidence_canonicalized,False,True,True,False,False,False,False,False,4,2,"{""added_left_context"": 1, ""added_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0147::qwen3_8b::natural::evidence_canonicalized,True,True,False,False,False,False,False,False,2,2,"{""added_modified_token_evidence"": 1, ""added_noun_left_context"": 1, ""added_noun_right_context"": 1, ""kept_existing_valid_source_spans"": 2}"
rf-edit-0147::qwen3_8b::rule_grounded::evidence_canonicalized,True,True,False,False,False,False,False,False,5,5,"{""added_modified_token_evidence"": 1, ""added_noun_left_context"": 1, ""added_noun_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0150::qwen3_8b::natural::evidence_canonicalized,True,True,False,False,False,False,False,False,3,3,"{""added_left_context"": 1, ""added_modified_token_evidence"": 1, ""added_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0150::qwen3_8b::rule_grounded::evidence_canonicalized,True,True,False,False,False,False,False,False,3,3,"{""added_left_context"": 1, ""added_modified_token_evidence"": 1, ""added_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0151::qwen3_8b::natural::evidence_canonicalized,True,True,False,False,False,False,False,False,6,6,"{""added_left_context"": 1, ""added_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0151::qwen3_8b::rule_grounded::evidence_canonicalized,True,True,False,False,False,False,False,False,6,6,"{""added_left_context"": 1, ""added_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0158::qwen3_8b::natural::evidence_canonicalized,True,True,False,False,False,False,False,False,2,2,"{""added_left_context"": 1, ""added_modified_token_evidence"": 1, ""added_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0158::qwen3_8b::rule_grounded::evidence_canonicalized,True,True,False,False,False,False,False,False,2,2,"{""added_left_context"": 1, ""added_modified_token_evidence"": 1, ""added_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0163::qwen3_8b::rule_grounded::evidence_canonicalized,False,True,True,False,True,False,True,False,5,2,"{""added_preposition_complement"": 1, ""added_preposition_governor"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0163::qwen3_8b::natural::evidence_canonicalized,False,True,True,False,True,False,True,False,5,2,"{""added_preposition_complement"": 1, ""added_preposition_governor"": 1}"
rf-edit-0165::qwen3_8b::natural::evidence_canonicalized,True,True,False,False,False,False,False,False,2,2,"{""added_determiner_head_noun"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0165::qwen3_8b::rule_grounded::evidence_canonicalized,False,True,True,False,True,False,True,False,6,2,"{""added_determiner_head_noun"": 1}"
rf-edit-0167::qwen3_8b::natural::evidence_canonicalized,True,True,False,False,False,False,False,False,2,2,"{""added_modified_token_evidence"": 1, ""added_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0167::qwen3_8b::rule_grounded::evidence_canonicalized,True,True,False,False,False,False,False,False,2,2,"{""added_modified_token_evidence"": 1, ""added_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0170::qwen3_8b::natural::evidence_canonicalized,True,True,False,False,False,False,False,False,6,6,"{""added_determiner_head_noun"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0170::qwen3_8b::rule_grounded::evidence_canonicalized,True,True,False,False,False,False,False,False,6,6,"{""added_determiner_head_noun"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0178::qwen3_8b::natural::evidence_canonicalized,True,True,False,False,False,False,False,False,2,2,"{""added_left_context"": 1, ""added_modified_token_evidence"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0178::qwen3_8b::rule_grounded::evidence_canonicalized,True,True,False,False,False,False,False,False,2,2,"{""added_left_context"": 1, ""added_modified_token_evidence"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0183::qwen3_8b::natural::evidence_canonicalized,True,True,False,False,False,False,False,False,2,2,"{""added_left_context"": 1, ""added_modified_token_evidence"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0183::qwen3_8b::rule_grounded::evidence_canonicalized,True,True,False,False,False,False,False,False,2,2,"{""added_left_context"": 1, ""added_modified_token_evidence"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0191::qwen3_8b::natural::evidence_canonicalized,False,True,True,False,True,False,True,False,5,1,"{""added_determiner_head_noun"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0191::qwen3_8b::rule_grounded::evidence_canonicalized,False,True,True,False,True,False,True,False,5,1,"{""added_determiner_head_noun"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0199::qwen3_8b::natural::evidence_canonicalized,False,True,True,False,False,False,False,False,4,2,"{""added_preposition_complement"": 1, ""added_preposition_governor"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0199::qwen3_8b::rule_grounded::evidence_canonicalized,False,True,True,False,False,False,False,False,4,2,"{""added_preposition_complement"": 1, ""added_preposition_governor"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0207::qwen3_8b::natural::evidence_canonicalized,False,True,True,False,False,False,False,False,6,4,"{""added_left_context"": 1, ""added_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0207::qwen3_8b::rule_grounded::evidence_canonicalized,False,True,True,False,False,False,False,False,6,4,"{""added_left_context"": 1, ""added_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0217::qwen3_8b::natural::evidence_canonicalized,True,True,False,False,True,False,True,False,7,5,"{""added_left_context"": 1, ""added_modified_token_evidence"": 1, ""added_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0217::qwen3_8b::rule_grounded::evidence_canonicalized,True,True,False,False,False,False,False,False,5,5,"{""added_left_context"": 1, ""added_modified_token_evidence"": 1, ""added_right_context"": 1, ""kept_existing_valid_source_spans"": 2}"
rf-edit-0225::qwen3_8b::natural::evidence_canonicalized,False,True,True,False,False,False,False,False,4,2,"{""added_pronoun_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0225::qwen3_8b::rule_grounded::evidence_canonicalized,False,True,True,False,False,False,False,False,4,2,"{""added_pronoun_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0231::qwen3_8b::natural::evidence_canonicalized,False,True,True,False,False,False,False,False,3,2,"{""added_verb_left_context"": 1, ""added_verb_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0231::qwen3_8b::rule_grounded::evidence_canonicalized,False,True,True,False,False,False,False,False,4,3,"{""added_verb_left_context"": 1, ""added_verb_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0234::qwen3_8b::natural::evidence_canonicalized,False,True,True,False,False,False,False,False,4,2,"{""added_noun_left_context"": 1, ""added_noun_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0234::qwen3_8b::rule_grounded::evidence_canonicalized,False,True,True,False,False,False,False,False,4,2,"{""added_noun_left_context"": 1, ""added_noun_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0236::qwen3_8b::natural::evidence_canonicalized,False,True,True,False,False,False,False,False,4,2,"{""added_left_context"": 1, ""added_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0236::qwen3_8b::rule_grounded::evidence_canonicalized,False,True,True,False,False,False,False,False,4,2,"{""added_left_context"": 1, ""added_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0240::qwen3_8b::rule_grounded::evidence_canonicalized,False,True,True,False,False,False,False,False,3,1,"{""added_left_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0240::qwen3_8b::natural::evidence_canonicalized,False,True,True,False,False,False,False,False,4,3,"{""added_left_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0242::qwen3_8b::natural::evidence_canonicalized,True,True,False,False,False,False,False,False,5,5,"{""added_left_context"": 1, ""added_modified_token_evidence"": 1, ""added_right_context"": 1, ""kept_existing_valid_source_spans"": 2}"
rf-edit-0242::qwen3_8b::rule_grounded::evidence_canonicalized,True,True,False,False,True,False,True,False,7,5,"{""added_left_context"": 1, ""added_modified_token_evidence"": 1, ""added_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0248::qwen3_8b::natural::evidence_canonicalized,False,True,True,False,True,False,True,False,6,2,"{""added_left_context"": 1, ""added_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0248::qwen3_8b::rule_grounded::evidence_canonicalized,False,True,True,False,True,False,True,False,6,2,"{""added_left_context"": 1, ""added_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0250::qwen3_8b::natural::evidence_canonicalized,True,True,False,False,True,False,True,False,4,2,"{""added_modified_token_evidence"": 1, ""added_noun_left_context"": 1, ""added_noun_right_context"": 1}"
rf-edit-0250::qwen3_8b::rule_grounded::evidence_canonicalized,True,True,False,False,True,False,True,False,4,2,"{""added_modified_token_evidence"": 1, ""added_noun_left_context"": 1, ""added_noun_right_context"": 1}"
rf-edit-0251::qwen3_8b::natural::evidence_canonicalized,True,True,False,False,True,False,True,False,4,2,"{""added_modified_token_evidence"": 1, ""added_noun_left_context"": 1, ""added_noun_right_context"": 1}"
rf-edit-0251::qwen3_8b::rule_grounded::evidence_canonicalized,True,True,False,False,True,False,True,False,4,2,"{""added_modified_token_evidence"": 1, ""added_noun_left_context"": 1, ""added_noun_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0253::qwen3_8b::natural::evidence_canonicalized,True,True,False,False,False,False,False,False,2,2,"{""added_modified_token_evidence"": 1, ""added_noun_left_context"": 1, ""added_noun_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0253::qwen3_8b::rule_grounded::evidence_canonicalized,True,True,False,False,False,False,False,False,2,2,"{""added_modified_token_evidence"": 1, ""added_noun_left_context"": 1, ""added_noun_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0255::qwen3_8b::natural::evidence_canonicalized,True,True,False,False,False,False,False,False,2,2,"{""added_modified_token_evidence"": 1, ""added_noun_left_context"": 1, ""added_noun_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0255::qwen3_8b::rule_grounded::evidence_canonicalized,True,True,False,False,False,False,False,False,2,2,"{""added_modified_token_evidence"": 1, ""added_noun_left_context"": 1, ""added_noun_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0257::qwen3_8b::natural::evidence_canonicalized,True,True,False,False,True,False,True,False,5,2,"{""added_left_context"": 1, ""added_modified_token_evidence"": 1, ""added_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0257::qwen3_8b::rule_grounded::evidence_canonicalized,True,True,False,False,True,False,True,False,5,2,"{""added_left_context"": 1, ""added_modified_token_evidence"": 1, ""added_right_context"": 1}"
rf-edit-0261::qwen3_8b::natural::evidence_canonicalized,False,True,True,False,False,False,False,False,3,2,"{""added_left_context"": 1, ""added_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0261::qwen3_8b::rule_grounded::evidence_canonicalized,False,True,True,False,False,False,False,False,4,2,"{""added_left_context"": 1, ""added_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0262::qwen3_8b::natural::evidence_canonicalized,True,True,False,False,False,False,False,False,2,2,"{""added_left_context"": 1, ""added_modified_token_evidence"": 1, ""added_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0262::qwen3_8b::rule_grounded::evidence_canonicalized,True,True,False,False,False,False,False,False,2,2,"{""added_left_context"": 1, ""added_modified_token_evidence"": 1, ""added_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0264::qwen3_8b::natural::evidence_canonicalized,False,True,True,False,False,False,False,False,4,2,"{""added_preposition_complement"": 1, ""added_preposition_governor"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0264::qwen3_8b::rule_grounded::evidence_canonicalized,False,True,True,False,False,False,False,False,4,2,"{""added_preposition_complement"": 1, ""added_preposition_governor"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0265::qwen3_8b::natural::evidence_canonicalized,False,True,True,False,False,False,False,False,3,1,"{""added_verb_left_context"": 1, ""added_verb_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0265::qwen3_8b::rule_grounded::evidence_canonicalized,False,True,True,False,False,False,False,False,3,1,"{""added_verb_left_context"": 1, ""added_verb_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0267::qwen3_8b::natural::evidence_canonicalized,True,True,False,False,False,False,False,False,2,2,"{""added_determiner_head_noun"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0267::qwen3_8b::rule_grounded::evidence_canonicalized,False,True,True,False,True,False,True,False,6,2,"{""added_determiner_head_noun"": 1}"
rf-edit-0268::qwen3_8b::rule_grounded::evidence_canonicalized,True,True,False,False,True,False,True,False,5,2,"{""added_modified_token_evidence"": 1, ""added_noun_left_context"": 1, ""added_noun_right_context"": 1}"
rf-edit-0268::qwen3_8b::natural::evidence_canonicalized,True,True,False,False,True,False,True,False,4,2,"{""added_modified_token_evidence"": 1, ""added_noun_left_context"": 1, ""added_noun_right_context"": 1}"
rf-edit-0273::qwen3_8b::natural::evidence_canonicalized,True,True,False,False,False,False,False,False,2,2,"{""added_modified_token_evidence"": 1, ""added_noun_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0273::qwen3_8b::rule_grounded::evidence_canonicalized,True,True,False,False,False,False,False,False,2,2,"{""added_modified_token_evidence"": 1, ""added_noun_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0276::qwen3_8b::natural::evidence_canonicalized,False,True,True,False,False,False,False,False,3,1,"{""added_determiner_head_noun"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0276::qwen3_8b::rule_grounded::evidence_canonicalized,False,True,True,False,False,False,False,False,3,1,"{""added_determiner_head_noun"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0277::qwen3_8b::natural::evidence_canonicalized,True,True,False,False,False,False,False,False,2,2,"{""added_determiner_head_noun"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0277::qwen3_8b::rule_grounded::evidence_canonicalized,False,True,True,False,True,False,True,False,5,2,"{""added_determiner_head_noun"": 1}"
