candidate_id,bucket,hard_reasons,refine_reasons,dataset,model_key,operation,error_type,edit_description_edit_copy,rule_text_edit_copy,rationale_edit_copy,rule_text_target_copy,rationale_target_copy,specific_source_evidence
rf-edit-0025::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error,unsupported_confidence,EXPECT,gector_roberta_base,delete,U:DET,True,False,False,False,False,True
rf-edit-0026::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,validity_error_auto;possible_false_rationalization,unsupported_confidence,JFLEG,gector_roberta_base,replace,R:DET,True,False,False,True,True,True
rf-edit-0026::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,validity_error_auto;possible_false_rationalization,unsupported_confidence,JFLEG,gector_roberta_base,replace,R:DET,True,False,False,True,True,True
rf-edit-0033::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,accepted,,,EXPECT,gector_roberta_base,delete,U:DET,True,False,False,False,False,True
rf-edit-0033::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error,unsupported_confidence,EXPECT,gector_roberta_base,delete,U:DET,True,False,False,False,False,True
rf-edit-0034::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,validity_error_auto;possible_false_rationalization,unsupported_confidence,JFLEG,gector_roberta_base,replace,R:VERB:FORM,True,False,False,False,True,True
rf-edit-0034::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,validity_error_auto;possible_false_rationalization,rationale_edit_copy;unsupported_confidence,JFLEG,gector_roberta_base,replace,R:VERB:FORM,True,False,True,False,True,True
rf-edit-0035::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,refine,,rationale_edit_copy,EXPECT,gector_roberta_base,insert,M:NOUN:POSS,True,False,True,False,True,True
rf-edit-0035::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,parse_not_json;missing_rule,rationale_edit_copy,EXPECT,gector_roberta_base,insert,M:NOUN:POSS,True,False,True,False,True,True
rf-edit-0039::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error;no_specific_source_evidence,unsupported_confidence,EXPECT,gector_roberta_base,delete,U:CONJ,True,False,False,False,False,False
rf-edit-0039::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error;no_specific_source_evidence,unsupported_confidence,EXPECT,gector_roberta_base,delete,U:CONJ,True,False,False,False,False,False
rf-edit-0051::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,accepted,,,EXPECT,gector_roberta_base,replace,R:PREP,True,False,False,True,True,True
rf-edit-0051::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,accepted,,,EXPECT,gector_roberta_base,replace,R:PREP,True,False,False,True,True,True
rf-edit-0052::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,no_specific_source_evidence,rationale_edit_copy,JFLEG,gector_roberta_base,replace,R:OTHER,True,False,True,False,True,False
rf-edit-0052::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,no_specific_source_evidence,rationale_edit_copy,JFLEG,gector_roberta_base,replace,R:OTHER,True,False,True,False,True,False
rf-edit-0056::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error,unsupported_confidence,JFLEG,gector_roberta_base,replace,R:SPELL,False,False,False,False,True,True
rf-edit-0056::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error,unsupported_confidence,JFLEG,gector_roberta_base,replace,R:SPELL,False,False,False,False,True,True
rf-edit-0058::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,accepted,,,EXPECT,gector_roberta_base,replace,M:DET,True,False,False,False,False,True
rf-edit-0058::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,accepted,,,EXPECT,gector_roberta_base,replace,M:DET,True,False,False,False,False,True
rf-edit-0062::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,accepted,,,JFLEG,gector_roberta_base,replace,R:PRON,True,False,False,False,True,True
rf-edit-0062::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,accepted,,,JFLEG,gector_roberta_base,replace,R:PRON,True,False,False,True,True,True
rf-edit-0068::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,no_specific_source_evidence,,JFLEG,gector_roberta_base,replace,R:OTHER,True,False,False,True,True,False
rf-edit-0068::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,no_specific_source_evidence,,JFLEG,gector_roberta_base,replace,R:OTHER,True,False,False,True,True,False
rf-edit-0074::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,validity_error_auto,rationale_edit_copy,EXPECT,gector_roberta_base,insert,M:VERB:TENSE,True,False,True,False,True,True
rf-edit-0074::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,validity_error_auto;possible_false_rationalization,unsupported_confidence,EXPECT,gector_roberta_base,insert,M:VERB:TENSE,True,False,False,False,True,True
rf-edit-0077::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,accepted,,,EXPECT,gector_roberta_base,replace,R:NOUN:NUM,True,False,False,False,True,True
rf-edit-0077::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,accepted,,,EXPECT,gector_roberta_base,replace,R:NOUN:NUM,True,False,False,False,True,True
rf-edit-0081::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,no_specific_source_evidence,,EXPECT,gector_roberta_base,replace,R:ADV,True,False,False,True,True,False
rf-edit-0081::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,no_specific_source_evidence,,EXPECT,gector_roberta_base,replace,R:ADV,True,False,False,True,True,False
rf-edit-0092::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,validity_error_auto,,EXPECT,gector_roberta_base,replace,R:PREP,True,False,False,True,True,True
rf-edit-0092::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,validity_error_auto,,EXPECT,gector_roberta_base,replace,R:PREP,True,False,False,True,True,True
rf-edit-0098::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,no_specific_source_evidence,rationale_edit_copy,JFLEG,gector_roberta_base,insert,M:OTHER,True,False,True,False,True,False
rf-edit-0098::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,no_specific_source_evidence,rationale_edit_copy,JFLEG,gector_roberta_base,insert,M:OTHER,True,False,True,False,True,False
rf-edit-0107::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,validity_error_auto;possible_false_rationalization,rationale_edit_copy;unsupported_confidence,JFLEG,gector_roberta_base,replace,R:VERB:FORM,True,False,True,False,True,True
rf-edit-0107::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,validity_error_auto;possible_false_rationalization,unsupported_confidence,JFLEG,gector_roberta_base,replace,R:VERB:FORM,True,False,False,False,True,True
rf-edit-0111::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,no_specific_source_evidence,,EXPECT,gector_roberta_base,replace,R:MORPH,True,False,False,False,True,False
rf-edit-0111::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,no_specific_source_evidence,,EXPECT,gector_roberta_base,replace,R:MORPH,True,False,False,False,True,False
rf-edit-0114::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,refine,,rationale_edit_copy,JFLEG,gector_roberta_base,replace,R:VERB:FORM,True,False,True,False,True,True
rf-edit-0114::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,accepted,,,JFLEG,gector_roberta_base,replace,R:VERB:FORM,True,False,False,False,True,True
rf-edit-0118::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,no_specific_source_evidence,rationale_edit_copy,JFLEG,gector_roberta_base,replace,R:OTHER,True,False,True,True,True,False
rf-edit-0118::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,no_specific_source_evidence,,JFLEG,gector_roberta_base,replace,R:OTHER,True,False,False,True,True,False
rf-edit-0123::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error,unsupported_confidence,JFLEG,t5_base_grammar,replace,R:ORTH,False,False,False,False,False,True
rf-edit-0123::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error,unsupported_confidence,JFLEG,t5_base_grammar,replace,R:ORTH,False,False,False,False,False,True
rf-edit-0125::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error;no_specific_source_evidence,unsupported_confidence,EXPECT,t5_base_grammar,delete,U:CONJ,True,False,False,False,False,False
rf-edit-0125::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error;no_specific_source_evidence,unsupported_confidence,EXPECT,t5_base_grammar,delete,U:CONJ,True,False,False,False,False,False
rf-edit-0126::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,accepted,,,JFLEG,t5_base_grammar,replace,R:ORTH,True,False,False,False,False,True
rf-edit-0126::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error,unsupported_confidence,JFLEG,t5_base_grammar,replace,R:ORTH,False,False,False,False,False,True
rf-edit-0127::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,accepted,,,EXPECT,t5_base_grammar,replace,R:PREP,True,False,False,True,True,True
rf-edit-0127::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,accepted,,,EXPECT,t5_base_grammar,replace,R:PREP,True,False,False,True,True,True
rf-edit-0129::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error;validity_error_auto;possible_false_rationalization,unsupported_confidence,JFLEG,t5_base_grammar,replace,R:SPELL,False,False,False,False,True,True
rf-edit-0129::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error;validity_error_auto;possible_false_rationalization,unsupported_confidence,JFLEG,t5_base_grammar,replace,R:SPELL,False,False,False,False,True,True
rf-edit-0137::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error,unsupported_confidence,JFLEG,t5_base_grammar,replace,R:OTHER,False,False,False,False,False,True
rf-edit-0137::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error,unsupported_confidence,JFLEG,t5_base_grammar,replace,R:OTHER,False,False,False,False,False,True
rf-edit-0138::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,accepted,,,EXPECT,t5_base_grammar,replace,R:NOUN,True,False,False,False,False,True
rf-edit-0138::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,accepted,,,EXPECT,t5_base_grammar,replace,R:NOUN,True,False,False,False,False,True
rf-edit-0141::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,validity_error_auto;possible_false_rationalization;no_specific_source_evidence,unsupported_confidence,JFLEG,t5_base_grammar,replace,R:ADJ,True,False,False,False,True,False
rf-edit-0141::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,no_specific_source_evidence,,JFLEG,t5_base_grammar,replace,R:ADJ,True,False,False,False,True,False
rf-edit-0147::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error,unsupported_confidence,JFLEG,t5_base_grammar,replace,R:NOUN,False,False,False,False,False,True
rf-edit-0147::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error;validity_error_auto;possible_false_rationalization,unsupported_confidence,JFLEG,t5_base_grammar,replace,R:NOUN,False,False,False,False,False,True
rf-edit-0150::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error,unsupported_confidence,JFLEG,t5_base_grammar,replace,R:SPELL,False,False,False,False,True,True
rf-edit-0150::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error,unsupported_confidence,JFLEG,t5_base_grammar,replace,R:SPELL,False,False,False,True,True,True
rf-edit-0151::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,validity_error_auto;possible_false_rationalization;no_specific_source_evidence,rationale_edit_copy;unsupported_confidence,EXPECT,t5_base_grammar,insert,M:OTHER,True,False,True,False,True,False
rf-edit-0151::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,validity_error_auto;possible_false_rationalization;no_specific_source_evidence,rationale_edit_copy;unsupported_confidence,EXPECT,t5_base_grammar,insert,M:OTHER,True,False,True,False,True,False
rf-edit-0158::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error,unsupported_confidence,JFLEG,t5_base_grammar,replace,R:OTHER,False,False,False,False,False,True
rf-edit-0158::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error,unsupported_confidence,JFLEG,t5_base_grammar,replace,R:OTHER,False,False,False,False,False,True
rf-edit-0163::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,accepted,,,EXPECT,t5_base_grammar,replace,R:PREP,True,False,False,True,True,True
rf-edit-0163::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,accepted,,,EXPECT,t5_base_grammar,replace,R:PREP,True,False,False,True,True,True
rf-edit-0165::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,refine,,rationale_edit_copy,EXPECT,t5_base_grammar,insert,M:DET,True,False,True,True,True,True
rf-edit-0165::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,refine,,rationale_edit_copy,EXPECT,t5_base_grammar,insert,M:DET,True,False,True,True,True,True
rf-edit-0167::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error,unsupported_confidence,JFLEG,t5_base_grammar,replace,R:OTHER,False,False,False,False,False,True
rf-edit-0167::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error,unsupported_confidence,JFLEG,t5_base_grammar,replace,R:OTHER,False,False,False,False,False,True
rf-edit-0170::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,validity_error_auto;possible_false_rationalization,unsupported_confidence,EXPECT,t5_base_grammar,insert,M:DET,True,False,False,True,True,True
rf-edit-0170::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,validity_error_auto;possible_false_rationalization,unsupported_confidence,EXPECT,t5_base_grammar,insert,M:DET,True,False,False,True,True,True
rf-edit-0178::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error,unsupported_confidence,EXPECT,t5_base_grammar,replace,R:ORTH,False,False,False,False,False,True
rf-edit-0178::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error,unsupported_confidence,EXPECT,t5_base_grammar,replace,R:ORTH,False,False,False,False,False,True
rf-edit-0183::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error,unsupported_confidence,JFLEG,t5_base_grammar,replace,R:ORTH,False,False,False,False,False,True
rf-edit-0183::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error,unsupported_confidence,JFLEG,t5_base_grammar,replace,R:ORTH,False,False,False,False,False,True
rf-edit-0191::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,accepted,,,JFLEG,t5_base_grammar,delete,U:DET,True,False,False,False,False,True
rf-edit-0191::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,accepted,,,JFLEG,t5_base_grammar,delete,U:DET,True,False,False,False,False,True
rf-edit-0199::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,accepted,,,EXPECT,t5_base_grammar,replace,R:PREP,True,False,False,True,True,True
rf-edit-0199::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,accepted,,,EXPECT,t5_base_grammar,replace,R:PREP,True,False,False,True,True,True
rf-edit-0207::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,validity_error_auto;no_specific_source_evidence,,JFLEG,t5_base_grammar,replace,R:OTHER,True,False,False,False,True,False
rf-edit-0207::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,validity_error_auto;no_specific_source_evidence,,JFLEG,t5_base_grammar,replace,R:OTHER,True,False,False,False,True,False
rf-edit-0217::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error;validity_error_auto;possible_false_rationalization,unsupported_confidence,EXPECT,t5_base_grammar,replace,R:SPELL,False,False,False,False,False,True
rf-edit-0217::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error;validity_error_auto;possible_false_rationalization,unsupported_confidence,EXPECT,t5_base_grammar,replace,R:SPELL,False,False,False,False,False,True
rf-edit-0225::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,accepted,,,JFLEG,t5_base_grammar,replace,R:PRON,True,False,False,False,True,True
rf-edit-0225::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,refine,,rationale_edit_copy,JFLEG,t5_base_grammar,replace,R:PRON,True,False,True,False,True,True
rf-edit-0231::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,refine,,rationale_edit_copy,EXPECT,t5_base_grammar,replace,R:VERB,True,False,True,True,True,True
rf-edit-0231::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,refine,,rationale_edit_copy;generic_explanation,EXPECT,t5_base_grammar,replace,R:VERB,True,False,True,True,True,True
rf-edit-0234::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,accepted,,,EXPECT,t5_base_grammar,replace,R:NOUN:INFL,True,False,False,True,True,True
rf-edit-0234::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,refine,,rationale_edit_copy,EXPECT,t5_base_grammar,replace,R:NOUN:INFL,True,False,True,True,True,True
rf-edit-0236::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,no_specific_source_evidence,,EXPECT,t5_base_grammar,replace,R:OTHER,True,False,False,False,True,False
rf-edit-0236::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,no_specific_source_evidence,,EXPECT,t5_base_grammar,replace,R:OTHER,True,False,False,False,True,False
rf-edit-0240::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,no_specific_source_evidence,,EXPECT,coedit_large,delete,U:OTHER,False,False,False,False,False,False
rf-edit-0240::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error;no_specific_source_evidence,unsupported_confidence,EXPECT,coedit_large,delete,U:OTHER,False,False,False,False,False,False
rf-edit-0242::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error;validity_error_auto,unsupported_confidence,EXPECT,coedit_large,replace,R:SPELL,False,False,False,False,True,True
rf-edit-0242::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error;validity_error_auto,unsupported_confidence,EXPECT,coedit_large,replace,R:SPELL,False,False,False,False,True,True
rf-edit-0248::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,no_specific_source_evidence,,EXPECT,coedit_large,replace,R:OTHER,True,False,False,False,True,False
rf-edit-0248::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,no_specific_source_evidence,,EXPECT,coedit_large,replace,R:OTHER,True,False,False,True,True,False
rf-edit-0250::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error,unsupported_confidence,EXPECT,coedit_large,replace,R:NOUN,False,False,False,False,False,True
rf-edit-0250::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error,unsupported_confidence,EXPECT,coedit_large,replace,R:NOUN,False,False,False,False,False,True
rf-edit-0251::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error,unsupported_confidence,EXPECT,coedit_large,replace,R:NOUN,False,False,False,False,False,True
rf-edit-0251::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error,unsupported_confidence,EXPECT,coedit_large,replace,R:NOUN,False,False,False,False,False,True
rf-edit-0253::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error,unsupported_confidence,EXPECT,coedit_large,replace,R:NOUN,False,False,False,False,False,True
rf-edit-0253::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error,unsupported_confidence,EXPECT,coedit_large,replace,R:NOUN,False,False,False,False,False,True
rf-edit-0255::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,accepted,,,EXPECT,coedit_large,replace,R:NOUN,True,False,False,False,False,True
rf-edit-0255::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,accepted,,,EXPECT,coedit_large,replace,R:NOUN,True,False,False,False,False,True
rf-edit-0257::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,accepted,,,EXPECT,coedit_large,replace,R:OTHER,True,False,False,False,False,True
rf-edit-0257::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,accepted,,,EXPECT,coedit_large,replace,R:OTHER,True,False,False,False,False,True
rf-edit-0261::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,no_specific_source_evidence,,EXPECT,coedit_large,replace,R:OTHER,True,False,False,False,True,False
rf-edit-0261::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,no_specific_source_evidence,,EXPECT,coedit_large,replace,R:OTHER,True,False,False,True,True,False
rf-edit-0262::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error,unsupported_confidence,EXPECT,coedit_large,replace,R:OTHER,False,False,False,False,False,True
rf-edit-0262::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error,unsupported_confidence,EXPECT,coedit_large,replace,R:OTHER,False,False,False,False,False,True
rf-edit-0264::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,accepted,,,EXPECT,coedit_large,replace,R:PREP,True,False,False,True,True,True
rf-edit-0264::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,accepted,,,EXPECT,coedit_large,replace,R:PREP,True,False,False,True,True,True
rf-edit-0265::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,accepted,,,EXPECT,coedit_large,delete,U:VERB,True,False,False,False,False,True
rf-edit-0265::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,refine,,rationale_edit_copy,EXPECT,coedit_large,delete,U:VERB,True,False,True,False,False,True
rf-edit-0267::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,refine,,rationale_edit_copy,EXPECT,coedit_large,insert,M:DET,True,False,True,True,True,True
rf-edit-0267::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,accepted,,,EXPECT,coedit_large,insert,M:DET,True,False,False,True,True,True
rf-edit-0268::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,accepted,,,EXPECT,coedit_large,replace,R:NOUN,True,False,False,False,False,True
rf-edit-0268::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error,unsupported_confidence,EXPECT,coedit_large,replace,R:NOUN,False,False,False,False,False,True
rf-edit-0273::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error,unsupported_confidence,EXPECT,coedit_large,replace,R:NOUN,False,False,False,False,False,True
rf-edit-0273::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error,unsupported_confidence,EXPECT,coedit_large,replace,R:NOUN,False,False,False,False,False,True
rf-edit-0276::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,accepted,,,EXPECT,coedit_large,delete,U:DET,True,False,False,False,False,True
rf-edit-0276::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,accepted,,,EXPECT,coedit_large,delete,U:DET,True,False,False,False,False,True
rf-edit-0277::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,refine,,rationale_edit_copy,EXPECT,coedit_large,insert,M:DET,True,False,True,True,True,True
rf-edit-0277::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,refine,,rationale_edit_copy,EXPECT,coedit_large,insert,M:DET,True,False,True,True,True,True
rf-edit-0278::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,no_specific_source_evidence,,EXPECT,coedit_large,replace,R:OTHER,True,False,False,False,True,False
rf-edit-0278::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,no_specific_source_evidence,,EXPECT,coedit_large,replace,R:OTHER,True,False,False,False,True,False
rf-edit-0279::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error,unsupported_confidence,EXPECT,coedit_large,replace,R:OTHER,False,False,False,False,False,True
rf-edit-0279::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error,unsupported_confidence,EXPECT,coedit_large,replace,R:OTHER,False,False,False,False,False,True
