candidate_id,edit_group,candidate_style,dataset,model_key,operation,error_category,confidence,pseudo_overall_decision,pseudo_rule_plausibility,pseudo_evidence_sufficiency,rulefaith_score,rulefaith_bucket,alignment_proxy,category_signal,grammar_signal,rationale_edit_copy,rule_target_copy,rationale_target_copy,generic,false_rationalization,evidence_count,exact_source_evidence_count,specific_source_evidence_count,evidence_mentioned_count
rf-edit-0199::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rf-edit-0199,natural,EXPECT,t5_base_grammar,replace,prepositions,0.95,accept,plausible,sufficient,0.91,accept,1.0,True,True,False,True,True,False,False,3,3,2,2
rf-edit-0199::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rf-edit-0199,rule_grounded,EXPECT,t5_base_grammar,replace,prepositions,0.95,accept,plausible,sufficient,0.91,accept,1.0,True,True,False,True,True,False,False,3,3,2,2
rf-edit-0225::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rf-edit-0225,natural,JFLEG,t5_base_grammar,replace,lexical_choice,0.95,reject,implausible,insufficient,0.52,reject,1.0,False,True,False,False,True,False,True,2,2,1,1
rf-edit-0264::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rf-edit-0264,natural,EXPECT,coedit_large,replace,prepositions,0.95,accept,plausible,sufficient,0.91,accept,1.0,True,True,False,True,True,False,False,3,3,2,2
rf-edit-0264::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rf-edit-0264,rule_grounded,EXPECT,coedit_large,replace,prepositions,0.95,accept,plausible,sufficient,0.91,accept,1.0,True,True,False,True,True,False,False,3,3,2,2
rf-edit-0265::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rf-edit-0265,natural,EXPECT,coedit_large,delete,verb_form,0.95,reject,implausible,partial,0.92,accept,1.0,True,True,True,False,False,False,False,3,3,2,2
rf-edit-0267::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rf-edit-0267,rule_grounded,EXPECT,coedit_large,insert,articles_determiners,0.95,refine,plausible,partial,0.5172,reject,0.67,True,True,False,True,True,False,True,1,1,1,1
rf-edit-0268::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rf-edit-0268,rule_grounded,EXPECT,coedit_large,replace,lexical_choice,0.95,refine,plausible,partial,0.66,refine,1.0,True,True,False,False,False,False,True,3,3,2,1
rf-edit-0284::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rf-edit-0284,rule_grounded,EXPECT,coedit_large,replace,lexical_choice,0.9,refine,weak,partial,0.87,accept,1.0,False,True,False,False,False,False,False,3,3,2,1
rf-edit-0292::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rf-edit-0292,rule_grounded,EXPECT,coedit_large,replace,lexical_choice,0.95,accept,plausible,sufficient,0.42,reject,1.0,False,False,False,False,False,False,True,4,4,2,1
rf-edit-0058::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,rf-edit-0058,natural,EXPECT,gector_roberta_base,replace,lexical_choice,0.8,reject,implausible,partial,0.97,accept,1.0,True,True,False,False,False,False,False,2,2,1,1
rf-edit-0058::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,rf-edit-0058,rule_grounded,EXPECT,gector_roberta_base,replace,lexical_choice,0.8,reject,implausible,partial,0.66,refine,1.0,True,True,False,False,False,False,True,1,1,1,1
rf-edit-0138::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,rf-edit-0138,natural,EXPECT,t5_base_grammar,replace,lexical_choice,0.8,reject,implausible,partial,0.97,accept,1.0,True,True,False,False,False,False,False,4,4,2,2
rf-edit-0138::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,rf-edit-0138,rule_grounded,EXPECT,t5_base_grammar,replace,lexical_choice,0.85,reject,implausible,partial,0.97,accept,1.0,True,True,False,False,False,False,False,4,4,2,2
rf-edit-0255::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,rf-edit-0255,natural,EXPECT,coedit_large,replace,lexical_choice,0.8,accept,plausible,sufficient,0.97,accept,1.0,True,False,False,False,False,False,False,4,4,2,2
rf-edit-0255::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,rf-edit-0255,rule_grounded,EXPECT,coedit_large,replace,lexical_choice,0.8,accept,plausible,sufficient,0.66,refine,1.0,True,False,False,False,False,False,True,4,4,2,2
rf-edit-0276::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,rf-edit-0276,natural,EXPECT,coedit_large,delete,articles_determiners,0.8,reject,implausible,partial,0.97,accept,1.0,True,True,False,False,False,False,False,2,2,1,1
rf-edit-0276::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,rf-edit-0276,rule_grounded,EXPECT,coedit_large,delete,articles_determiners,0.8,reject,implausible,partial,0.97,accept,1.0,True,True,False,False,False,False,False,2,2,1,1
rf-edit-0035::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,rf-edit-0035,rule_grounded,EXPECT,gector_roberta_base,insert,lexical_choice,0.8,reject,plausible,sufficient,0.9172,accept,0.67,True,True,False,False,False,False,False,2,2,2,2
rf-edit-0165::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,rf-edit-0165,natural,EXPECT,t5_base_grammar,insert,articles_determiners,0.8,refine,weak,partial,0.8272,accept,0.67,True,True,False,True,True,False,False,2,2,1,1
rf-edit-0165::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,rf-edit-0165,rule_grounded,EXPECT,t5_base_grammar,insert,articles_determiners,0.8,refine,weak,partial,0.8272,accept,0.67,True,True,False,True,True,False,False,1,1,1,1
rf-edit-0265::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,rf-edit-0265,rule_grounded,EXPECT,coedit_large,delete,verb_form,0.8,refine,plausible,partial,0.97,accept,1.0,True,True,False,False,False,False,False,3,3,2,2
rf-edit-0267::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,rf-edit-0267,natural,EXPECT,coedit_large,insert,articles_determiners,0.8,refine,plausible,partial,0.8572,accept,0.67,True,True,False,True,True,False,False,2,2,1,1
rf-edit-0277::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,rf-edit-0277,natural,EXPECT,coedit_large,insert,articles_determiners,0.8,refine,weak,sufficient,0.5172,reject,0.67,True,True,False,True,True,False,True,2,2,2,2
rf-edit-0277::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,rf-edit-0277,rule_grounded,EXPECT,coedit_large,insert,articles_determiners,0.85,refine,weak,sufficient,0.8272,accept,0.67,True,True,False,True,True,False,False,1,1,1,1
rf-edit-0284::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,rf-edit-0284,natural,EXPECT,coedit_large,replace,lexical_choice,0.8,accept,plausible,sufficient,0.97,accept,1.0,True,True,False,False,False,False,False,4,4,2,2
