candidate_id,bucket,selected_for_manual_audit,audit_priority,dataset,sample_id,model_key,model_family,behavior,operation,error_type,error_category,candidate_type,rulefaith_split,source,model_prediction,edit_start,edit_end,source_text,target_text,edit_description,edit_validity,rule_text,evidence_spans_json,rationale,confidence,abstain,abstain_reason,generator_input_fields,leakage_input_violation,source_span_match,target_present_in_prediction,evidence_span_index_match,evidence_all_spans_source_index_match,evidence_text_found_in_source,evidence_text_found_in_prediction_only,evidence_contextual,evidence_valid_source_span_count,evidence_invalid_source_span_count,evidence_contextual_source_count,evidence_edit_token_only_count,evidence_error_types,missing_evidence,wrong_evidence_auto,missing_rule,rule_edit_copy,target_copy,edit_copy,generic_explanation,possible_false_rationalization,unsupported_confidence,alignment_error,validity_error_auto,semantic_distortion_auto,risk_count,risk_reasons,human_alignment_error,human_validity_error,human_wrong_rule,human_inapplicable_rule,human_missing_evidence,human_wrong_evidence,human_generic_explanation,human_edit_copy,human_semantic_distortion,human_unsupported_confidence,human_notes,human_decision
rf-edit-0033::qwen3_8b::natural,accepted,True,risk,EXPECT,expect-test-00040,gector_roberta_base,sequence-to-edit,overcorrection,delete,U:DET,articles_determiners,natural,test,"I think about transport that the government should help the public transport , for example buses , train , the metro and more , for a single reason : the quality of life against the pollution .","I think about transport that the government should help public transport , for example buses , trains , the metro and more , for a single reason : the quality of life against pollution .",34,35,the,,Delete the article 'the' before 'pollution'.,stylistic,Articles like 'the' may be omitted when they are redundant or when the noun phrase is clearly understood without them.,"[{""end"": 39, ""role"": ""original"", ""start"": 34, ""text"": ""the quality of life against pollution""}, {""end"": 39, ""role"": ""modified"", ""start"": 34, ""text"": ""quality of life against pollution""}]","The article 'the' before 'pollution' is stylistically unnecessary because it is already clear from context that the comparison is between quality of life and pollution, without requiring a definite article. Removing 'the' makes the sentence more concise and natural.",0.9,False,,"[""source"", ""model_prediction"", ""model_edit"", ""edit_span""]",False,True,True,False,False,False,True,False,0,2,0,2,invalid_indices;prediction_only_text,True,True,False,False,False,True,False,False,True,False,False,False,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_text_not_found_in_source;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;edit_copy;unsupported_confidence,,,,,,,,,,,,
rf-edit-0052::qwen3_8b::rule_grounded,accepted,True,risk,JFLEG,jfleg-dev-0017,gector_roberta_base,sequence-to-edit,wrong_correction,replace,R:OTHER,prepositions,rule_grounded,train,because they spent time unmeaningful subjects .,because they spent time on important subjects .,4,5,unmeaningful,on important,Replace 'unmeaningful' with 'on important',invalid,A subject complement should follow a linking verb and provide information about the subject.,"[{""end"": 31, ""role"": ""original"", ""start"": 0, ""text"": ""because they spent time unmeaningful subjects""}, {""end"": 31, ""role"": ""modified"", ""start"": 0, ""text"": ""because they spent time on important subjects""}]","The original phrase 'unmeaningful subjects' is grammatically incorrect because it lacks a preposition to connect 'time' with 'subjects'. The replacement 'on important subjects' introduces a preposition ('on') which is necessary for proper syntax, but the replacement of 'unmeaningful' with 'important' changes the meaning of the sentence in a way that is not logically consistent with the original intent. The edit is invalid because it alters the meaning of the sentence without justification.",0.95,False,,"[""source"", ""model_prediction"", ""model_edit"", ""edit_span""]",False,True,True,False,False,True,True,False,0,2,0,2,invalid_indices;prediction_only_text,True,True,False,False,True,True,False,False,True,False,False,False,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence,,,,,,,,,,,,
rf-edit-0081::qwen3_8b::rule_grounded,accepted,True,risk,EXPECT,expect-test-00054,gector_roberta_base,sequence-to-edit,correct_correction,replace,R:ADV,lexical_choice,rule_grounded,train,He has ever been with me .,He has always been with me .,2,3,ever,always,Replace 'ever' with 'always' in the sentence.,valid,Use 'always' to indicate a continuous state over time when expressing ongoing presence or action.,"[{""end"": 6, ""role"": ""error"", ""start"": 2, ""text"": ""He has ever been with me""}, {""end"": 8, ""role"": ""corrected"", ""start"": 2, ""text"": ""He has always been with me""}]","The word 'ever' is used to indicate a past occurrence, which does not fit the context of the sentence implying a continuous presence. 'Always' correctly conveys the idea of ongoing presence throughout time.",0.95,False,,"[""source"", ""model_prediction"", ""model_edit"", ""edit_span""]",False,True,True,False,False,True,True,False,0,2,0,2,index_text_mismatch;invalid_indices;prediction_only_text,True,True,False,False,True,True,False,False,True,False,False,False,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence,,,,,,,,,,,,
rf-edit-0114::qwen3_8b::rule_grounded,accepted,True,risk,JFLEG,jfleg-dev-0035,gector_roberta_base,sequence-to-edit,overcorrection,replace,R:VERB:FORM,verb_form,rule_grounded,train,"If every people thinks to learn and understand lots of scientifc subjects , any person will do not do it and as a result of this any science is n't imporeved .","If everybody thinks about learning and understanding lots of scientific subjects , people will not do it and , as a result of this , any science will n't improve .",7,8,understand,understanding,Replace 'understand' with 'ing' form 'understanding',stylistic,Use noun forms in parallel structures for consistency and grammatical correctness.,"[{""end"": 12, ""role"": ""target"", ""start"": 7, ""text"": ""understand""}, {""end"": 15, ""role"": ""context"", ""start"": 9, ""text"": ""learning""}]","The verb 'understand' is replaced with its noun form 'understanding' to maintain parallelism with 'learning', which is already in the noun form. This creates a more consistent and grammatically balanced structure in the sentence.",0.9,False,,"[""source"", ""model_prediction"", ""model_edit"", ""edit_span""]",False,True,True,False,False,True,True,False,0,2,0,1,index_text_mismatch;prediction_only_text;prediction_or_target_role;text_not_in_source,True,True,False,False,True,True,False,False,True,False,False,False,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence,,,,,,,,,,,,
rf-edit-0199::qwen3_8b::natural,accepted,True,risk,EXPECT,expect-test-00000,t5_base_grammar,sequence-to-sequence,correct_correction,replace,R:PREP,prepositions,natural,train,"In my community , we are very interested at the environment and ecological things .","In my community, we are very interested in the environment and ecological things.",8,9,at,in,Replace 'at' with 'in' after 'interested',valid,"The preposition 'in' is used to indicate interest in something, whereas 'at' is typically used with specific locations or points.","[{""end"": 12, ""role"": ""error"", ""start"": 8, ""text"": ""interested at the environment""}, {""end"": 12, ""role"": ""correct"", ""start"": 8, ""text"": ""interested in the environment""}]","The phrase 'interested at' is grammatically incorrect when referring to interest in a subject like the environment. The correct preposition to use in this context is 'in', which indicates the object of interest.",0.95,False,,"[""source"", ""model_prediction"", ""model_edit"", ""edit_span""]",False,True,True,False,False,True,True,False,0,2,0,1,index_text_mismatch;prediction_only_text,True,True,False,False,True,True,False,False,True,False,False,False,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence,,,,,,,,,,,,
rf-edit-0199::qwen3_8b::rule_grounded,accepted,True,risk,EXPECT,expect-test-00000,t5_base_grammar,sequence-to-sequence,correct_correction,replace,R:PREP,prepositions,rule_grounded,train,"In my community , we are very interested at the environment and ecological things .","In my community, we are very interested in the environment and ecological things.",8,9,at,in,Replace 'at' with 'in' after 'interested',valid,"The preposition 'in' is used to indicate interest in something, whereas 'at' is typically used with specific locations or points.","[{""end"": 12, ""role"": ""error_span"", ""start"": 8, ""text"": ""interested at the environment""}, {""end"": 12, ""role"": ""corrected_span"", ""start"": 8, ""text"": ""interested in the environment""}]","The phrase 'interested in' is a standard collocation used to express interest in a subject, such as the environment. The preposition 'at' is not appropriate here because it typically refers to specific locations or points rather than abstract concepts like the environment.",0.95,False,,"[""source"", ""model_prediction"", ""model_edit"", ""edit_span""]",False,True,True,False,False,True,True,False,0,2,0,2,index_text_mismatch;prediction_only_text,True,True,False,False,True,True,False,False,True,False,False,False,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence,,,,,,,,,,,,
rf-edit-0225::qwen3_8b::natural,accepted,True,risk,JFLEG,jfleg-dev-0037,t5_base_grammar,sequence-to-sequence,wrong_correction,replace,R:PRON,lexical_choice,natural,train,Third the butt it in hte front of the door of store to make the poeple see it even if it is not good,"Third, they put it in front of the door of the store to make the people see it, even if it is not good.",1,2,the,they,Replace 'the' with 'they' at the beginning of the sentence.,invalid,The subject and verb in a sentence must agree in number (singular/plural).,"[{""end"": 5, ""role"": ""original"", ""start"": 0, ""text"": ""Third the butt it in hte front of the door of store to make the poeple see it even if it is not good""}, {""end"": 5, ""role"": ""corrected"", ""start"": 0, ""text"": ""Third, they put it in front of the door of the store to make the people see it, even if it is not good.""}]","The original sentence starts with 'Third the', which is a grammatical error. The pronoun 'they' is needed to serve as the subject of the sentence, matching the verb 'put'. Replacing 'the' with 'they' corrects the subject-verb agreement but is not appropriate in this context because 'they' is not the subject of the sentence. The correct subject would be an implied action or entity, not the pronoun 'they'.",0.95,False,,"[""source"", ""model_prediction"", ""model_edit"", ""edit_span""]",False,True,True,False,False,True,True,False,0,2,0,2,index_text_mismatch;prediction_only_text,True,True,False,False,True,True,False,False,True,False,False,False,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence,,,,,,,,,,,,
rf-edit-0264::qwen3_8b::natural,accepted,True,risk,EXPECT,expect-test-00000,coedit_large,instruction-following text editor,correct_correction,replace,R:PREP,prepositions,natural,train,"In my community , we are very interested at the environment and ecological things .","In my community, we are very interested in the environment and ecological things.",8,9,at,in,Replace 'at' with 'in' after 'interested',valid,"The preposition 'in' is used to indicate interest in something, whereas 'at' is typically used with specific locations or points.","[{""end"": 12, ""role"": ""error"", ""start"": 8, ""text"": ""interested at the environment""}, {""end"": 12, ""role"": ""correct"", ""start"": 8, ""text"": ""interested in the environment""}]","The phrase 'interested at' is grammatically incorrect when referring to interest in a subject like the environment. The correct preposition to use in this context is 'in', which indicates the object of interest.",0.95,False,,"[""source"", ""model_prediction"", ""model_edit"", ""edit_span""]",False,True,True,False,False,True,True,False,0,2,0,1,index_text_mismatch;prediction_only_text,True,True,False,False,True,True,False,False,True,False,False,False,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence,,,,,,,,,,,,
rf-edit-0264::qwen3_8b::rule_grounded,accepted,True,risk,EXPECT,expect-test-00000,coedit_large,instruction-following text editor,correct_correction,replace,R:PREP,prepositions,rule_grounded,train,"In my community , we are very interested at the environment and ecological things .","In my community, we are very interested in the environment and ecological things.",8,9,at,in,Replace 'at' with 'in' after 'interested',valid,"The preposition 'in' is used to indicate interest in something, whereas 'at' is typically used with specific locations or points.","[{""end"": 12, ""role"": ""error_span"", ""start"": 8, ""text"": ""interested at the environment""}, {""end"": 12, ""role"": ""corrected_span"", ""start"": 8, ""text"": ""interested in the environment""}]","The phrase 'interested in' is a standard collocation used to express interest in a subject, such as the environment. The preposition 'at' is not appropriate here because it typically refers to specific locations or points rather than abstract concepts like the environment.",0.95,False,,"[""source"", ""model_prediction"", ""model_edit"", ""edit_span""]",False,True,True,False,False,True,True,False,0,2,0,2,index_text_mismatch;prediction_only_text,True,True,False,False,True,True,False,False,True,False,False,False,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence,,,,,,,,,,,,
rf-edit-0016::qwen3_8b::natural,accepted,True,risk,JFLEG,jfleg-dev-0022,gector_roberta_base,sequence-to-edit,correct_correction,delete,U:DET,articles_determiners,natural,train,Students can focus on only a few subjects they are intwerested in and they will become an experts in those areas .,Students can focus on only a few subjects they are interested in and they will become experts in those areas .,16,17,an,,Delete the article 'an' before 'experts',stylistic,Articles like 'a' or 'an' may be omitted when the noun is clearly defined or when the context makes the number clear.,"[{""end"": 18, ""role"": ""original"", ""start"": 16, ""text"": ""and they will become an experts in those areas""}, {""end"": 18, ""role"": ""modified"", ""start"": 16, ""text"": ""and they will become experts in those areas""}]",The article 'an' is unnecessary before the plural noun 'experts' because the subject 'students' implies multiple individuals who can become experts. Removing 'an' improves clarity and grammatical correctness in this context.,0.95,False,,"[""source"", ""model_prediction"", ""model_edit"", ""edit_span""]",False,True,True,False,False,True,True,False,0,2,0,2,index_text_mismatch;prediction_only_text,True,True,False,False,False,True,False,False,True,False,False,False,7,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;edit_copy;unsupported_confidence,,,,,,,,,,,,
