candidate_id,dataset,sample_id,model_key,source,model_prediction,operation,edit_start,edit_end,source_text,target_text,edit_description,edit_validity,rule_text,evidence_spans_json,rationale,confidence,human_alignment_error,human_validity_error,human_wrong_rule,human_inapplicable_rule,human_missing_evidence,human_wrong_evidence,human_generic_explanation,human_edit_copy,human_semantic_distortion,human_unsupported_confidence,human_notes,human_decision
rf-edit-0191::qwen3_8b::natural::evidence_canonicalized,JFLEG,jfleg-dev-0022,t5_base_grammar,Students can focus on only a few subjects they are intwerested in and they will become an experts in those areas .,Students can focus on only a few subjects they are interested in and they will become experts in those areas.,delete,16,17,an,,Delete the article 'an' before 'experts',stylistic,Articles like 'a' or 'an' may be omitted when the noun they precede is clearly defined or when the context makes the noun's presence clear.,"[{""end"": 21, ""role"": ""original"", ""start"": 12, ""text"": ""and they will become an experts in those areas""}, {""end"": 18, ""role"": ""modified"", ""start"": 16, ""text"": ""an experts""}]",The article 'an' is unnecessary before the plural noun 'experts' because the subject 'students' and the verb 'become' make it clear that the noun is plural. Removing 'an' results in more concise and natural phrasing.,0.95,no,no,no,no,yes,yes,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, wrong_evidence, edit_copy, unsupported_confidence.",refine
rf-edit-0191::qwen3_8b::rule_grounded::evidence_canonicalized,JFLEG,jfleg-dev-0022,t5_base_grammar,Students can focus on only a few subjects they are intwerested in and they will become an experts in those areas .,Students can focus on only a few subjects they are interested in and they will become experts in those areas.,delete,16,17,an,,Delete the article 'an' before 'experts',stylistic,Avoid unnecessary articles when the noun is clearly defined or when the context makes the article redundant.,"[{""end"": 21, ""role"": ""original"", ""start"": 13, ""text"": ""they will become an experts in those areas""}, {""end"": 18, ""role"": ""modified"", ""start"": 16, ""text"": ""an experts""}]",The article 'an' is unnecessary before the plural noun 'experts' because 'experts' is already plural and does not require an article. Removing 'an' improves clarity and conciseness without altering the meaning.,0.95,no,no,no,no,yes,yes,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, wrong_evidence, edit_copy, unsupported_confidence.",refine
rf-edit-0052::qwen3_8b::rule_grounded::evidence_canonicalized,JFLEG,jfleg-dev-0017,gector_roberta_base,because they spent time unmeaningful subjects .,because they spent time on important subjects .,replace,4,5,unmeaningful,on important,Replace 'unmeaningful' with 'on important',invalid,A subject complement should follow a linking verb and provide information about the subject.,"[{""end"": 6, ""role"": ""original"", ""start"": 0, ""text"": ""because they spent time unmeaningful subjects""}]","The original phrase 'unmeaningful subjects' is grammatically incorrect because it lacks a preposition to connect 'time' with 'subjects'. The replacement 'on important subjects' introduces a preposition ('on') which is necessary for proper syntax, but the replacement of 'unmeaningful' with 'important' changes the meaning of the sentence in a way that is not logically consistent with the original intent. The edit is invalid because it alters the meaning of the sentence without justification.",0.95,no,no,no,no,yes,no,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, edit_copy, unsupported_confidence.",refine
rf-edit-0081::qwen3_8b::rule_grounded::evidence_canonicalized,EXPECT,expect-test-00054,gector_roberta_base,He has ever been with me .,He has always been with me .,replace,2,3,ever,always,Replace 'ever' with 'always' in the sentence.,valid,Use 'always' to indicate a continuous state over time when expressing ongoing presence or action.,"[{""end"": 6, ""role"": ""error"", ""start"": 0, ""text"": ""He has ever been with me""}]","The word 'ever' is used to indicate a past occurrence, which does not fit the context of the sentence implying a continuous presence. 'Always' correctly conveys the idea of ongoing presence throughout time.",0.95,no,no,no,no,yes,no,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, edit_copy, unsupported_confidence.",refine
rf-edit-0098::qwen3_8b::natural::evidence_canonicalized,JFLEG,jfleg-dev-0018,gector_roberta_base,"I was very fast , my best time was 5 5 seconds in 4 0 0 hundred meters is a good time in or country .","I was very fast . My best time was 5 5 5 seconds in 4 0 0 hundred meters , which is a good time in the country .",insert,9,9,,5,"Insert '5' at position [9,9)",invalid,"Numbers representing time should be written with proper formatting, including a decimal point for seconds.","[{""end"": 12, ""role"": ""original"", ""start"": 9, ""text"": ""5 5 seconds""}]","The original text contains '5 5 seconds', which is an incorrect representation of time. Inserting an additional '5' does not resolve the issue but instead creates an invalid format. The correct format would be '5.5 seconds' to indicate half a second.",0.95,no,no,no,no,yes,no,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, edit_copy, unsupported_confidence.",refine
rf-edit-0098::qwen3_8b::rule_grounded::evidence_canonicalized,JFLEG,jfleg-dev-0018,gector_roberta_base,"I was very fast , my best time was 5 5 seconds in 4 0 0 hundred meters is a good time in or country .","I was very fast . My best time was 5 5 5 seconds in 4 0 0 hundred meters , which is a good time in the country .",insert,9,9,,5,"Insert '5' at position [9,9)",invalid,"Numbers representing time should be written with proper formatting, including decimal points where necessary.","[{""end"": 12, ""role"": ""original"", ""start"": 9, ""text"": ""5 5 seconds""}]","The original text contains '5 5 seconds', which is likely intended to represent a time measurement such as 5.5 seconds. However, the model's edit inserts an additional '5' without addressing the missing decimal point, resulting in an incorrect format. The correct format would be '5.5 seconds' rather than inserting another '5'.",0.95,no,no,no,no,yes,no,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, edit_copy, unsupported_confidence.",refine
rf-edit-0199::qwen3_8b::natural::evidence_canonicalized,EXPECT,expect-test-00000,t5_base_grammar,"In my community , we are very interested at the environment and ecological things .","In my community, we are very interested in the environment and ecological things.",replace,8,9,at,in,Replace 'at' with 'in' after 'interested',valid,"The preposition 'in' is used to indicate interest in something, whereas 'at' is typically used with specific locations or points.","[{""end"": 11, ""role"": ""error"", ""start"": 7, ""text"": ""interested at the environment""}]","The phrase 'interested at' is grammatically incorrect when referring to interest in a subject like the environment. The correct preposition to use in this context is 'in', which indicates the object of interest.",0.95,no,no,no,no,yes,no,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, edit_copy, unsupported_confidence.",refine
rf-edit-0199::qwen3_8b::rule_grounded::evidence_canonicalized,EXPECT,expect-test-00000,t5_base_grammar,"In my community , we are very interested at the environment and ecological things .","In my community, we are very interested in the environment and ecological things.",replace,8,9,at,in,Replace 'at' with 'in' after 'interested',valid,"The preposition 'in' is used to indicate interest in something, whereas 'at' is typically used with specific locations or points.","[{""end"": 11, ""role"": ""error_span"", ""start"": 7, ""text"": ""interested at the environment""}]","The phrase 'interested in' is a standard collocation used to express interest in a subject, such as the environment. The preposition 'at' is not appropriate here because it typically refers to specific locations or points rather than abstract concepts like the environment.",0.95,no,no,no,no,yes,no,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, edit_copy, unsupported_confidence.",refine
rf-edit-0225::qwen3_8b::natural::evidence_canonicalized,JFLEG,jfleg-dev-0037,t5_base_grammar,Third the butt it in hte front of the door of store to make the poeple see it even if it is not good,"Third, they put it in front of the door of the store to make the people see it, even if it is not good.",replace,1,2,the,they,Replace 'the' with 'they' at the beginning of the sentence.,invalid,The subject and verb in a sentence must agree in number (singular/plural).,"[{""end"": 24, ""role"": ""original"", ""start"": 0, ""text"": ""Third the butt it in hte front of the door of store to make the poeple see it even if it is not good""}]","The original sentence starts with 'Third the', which is a grammatical error. The pronoun 'they' is needed to serve as the subject of the sentence, matching the verb 'put'. Replacing 'the' with 'they' corrects the subject-verb agreement but is not appropriate in this context because 'they' is not the subject of the sentence. The correct subject would be an implied action or entity, not the pronoun 'they'.",0.95,no,no,no,no,yes,no,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, edit_copy, unsupported_confidence.",refine
rf-edit-0264::qwen3_8b::natural::evidence_canonicalized,EXPECT,expect-test-00000,coedit_large,"In my community , we are very interested at the environment and ecological things .","In my community, we are very interested in the environment and ecological things.",replace,8,9,at,in,Replace 'at' with 'in' after 'interested',valid,"The preposition 'in' is used to indicate interest in something, whereas 'at' is typically used with specific locations or points.","[{""end"": 11, ""role"": ""error"", ""start"": 7, ""text"": ""interested at the environment""}]","The phrase 'interested at' is grammatically incorrect when referring to interest in a subject like the environment. The correct preposition to use in this context is 'in', which indicates the object of interest.",0.95,no,no,no,no,yes,no,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, edit_copy, unsupported_confidence.",refine
rf-edit-0264::qwen3_8b::rule_grounded::evidence_canonicalized,EXPECT,expect-test-00000,coedit_large,"In my community , we are very interested at the environment and ecological things .","In my community, we are very interested in the environment and ecological things.",replace,8,9,at,in,Replace 'at' with 'in' after 'interested',valid,"The preposition 'in' is used to indicate interest in something, whereas 'at' is typically used with specific locations or points.","[{""end"": 11, ""role"": ""error_span"", ""start"": 7, ""text"": ""interested at the environment""}]","The phrase 'interested in' is a standard collocation used to express interest in a subject, such as the environment. The preposition 'at' is not appropriate here because it typically refers to specific locations or points rather than abstract concepts like the environment.",0.95,no,no,no,no,yes,no,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, edit_copy, unsupported_confidence.",refine
rf-edit-0074::qwen3_8b::rule_grounded::evidence_canonicalized,EXPECT,expect-test-00038,gector_roberta_base,"which play an important role to giving tough competition to the government . as a result of this consumer gets more benefits , like lower faire , privacy , freedom and safe travelling.in addition many automobile companies launcing new cars at affordable prices , which encourages people to use more and more private vechile .","which play an important role in giving tough competition to the government . As a result of this , consumers get more benefits , like lower faire , privacy , freedom and safe journeys . In addition , many automobile companies are launcing new cars at affordable prices , which encourages people to use more and more private vegetables .",insert,37,37,,are,Insert 'are' before 'launcing' to form the correct verb phrase 'are launcing'.,valid,A subject must agree with its verb in number (singular/plural).,"[{""end"": 38, ""role"": ""target"", ""start"": 34, ""text"": ""many automobile companies launcing""}]","The subject 'many automobile companies' is plural, so the verb should be 'are launcing' instead of just 'launcing' to maintain subject-verb agreement. This ensures grammatical correctness in the sentence structure.",0.95,no,yes,yes,yes,yes,yes,no,yes,yes,yes,"Codex prelabel from automatic diagnostics: validity_error, wrong_rule, inapplicable_rule, missing_evidence, wrong_evidence, ...",reject
rf-edit-0034::qwen3_8b::natural::evidence_canonicalized,JFLEG,jfleg-dev-0004,gector_roberta_base,"image you salf you are wark in factory just to do one thing like pot taire on car if they fire you you will destroy , becouse u dont know more than pot taire in car .","Imagine working in a factory just to do one thing , like potting taire on a car . If they fire you , you will destroy it , because you do know more than potting taire on a car .",replace,14,15,pot,potting,Replace 'pot' with 'potting' to correct the verb form.,valid,Use the correct verb form based on context and grammatical structure.,"[{""end"": 15, ""role"": ""error"", ""start"": 14, ""text"": ""pot""}]","The word 'pot' is a noun or a base form of the verb, but in this context, the correct form should be 'potting', which is the present participle form of the verb 'pot'. This form is necessary to describe the ongoing action of potting tires on a car.",0.95,no,yes,yes,yes,yes,no,no,yes,yes,yes,"Codex prelabel from automatic diagnostics: validity_error, wrong_rule, inapplicable_rule, missing_evidence, edit_copy, ...",reject
rf-edit-0034::qwen3_8b::rule_grounded::evidence_canonicalized,JFLEG,jfleg-dev-0004,gector_roberta_base,"image you salf you are wark in factory just to do one thing like pot taire on car if they fire you you will destroy , becouse u dont know more than pot taire in car .","Imagine working in a factory just to do one thing , like potting taire on a car . If they fire you , you will destroy it , because you do know more than potting taire on a car .",replace,14,15,pot,potting,Replace 'pot' with 'potting' to correct the verb form.,valid,Verbs should be correctly inflected to match the context and intended meaning.,"[{""end"": 15, ""role"": ""error"", ""start"": 14, ""text"": ""pot""}]","The word 'pot' is a base verb, but in this context, the correct form should be 'potting' to indicate the ongoing action of potting tires on a car. This change ensures grammatical accuracy and clarity.",0.95,no,yes,yes,yes,yes,no,no,yes,yes,yes,"Codex prelabel from automatic diagnostics: validity_error, wrong_rule, inapplicable_rule, missing_evidence, edit_copy, ...",reject
rf-edit-0107::qwen3_8b::natural::evidence_canonicalized,JFLEG,jfleg-dev-0004,gector_roberta_base,"image you salf you are wark in factory just to do one thing like pot taire on car if they fire you you will destroy , becouse u dont know more than pot taire in car .","Imagine working in a factory just to do one thing , like potting taire on a car . If they fire you , you will destroy it , because you do know more than potting taire on a car .",replace,32,33,pot,potting,Replace 'pot' with 'potting' to correct the verb form.,valid,Use the correct verb form based on context and grammatical structure.,"[{""end"": 33, ""role"": ""error"", ""start"": 32, ""text"": ""pot""}]","The word 'pot' is a base form of the verb, but in this context, the correct form should be 'potting', which is a present participle. This change ensures grammatical accuracy and clarity in describing the action of applying tires to a car.",0.95,no,yes,yes,yes,yes,no,no,yes,yes,yes,"Codex prelabel from automatic diagnostics: validity_error, wrong_rule, inapplicable_rule, missing_evidence, edit_copy, ...",reject
