annotation_item_id,edit_group_id,candidate_id_blind,system_id,system_label,source_candidate_id,rulefaith_score,rulefaith_bucket
rf-nat-0021,rf-natural-0018,candidate-0021,rulefaith_score_top1,RuleFaith deployable top-1,rf-edit-0267::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,0.8572,accept
rf-nat-0022,rf-natural-0010,candidate-0022,qwen3_direct_natural,Qwen3 direct natural,rf-edit-0163::qwen3_8b::natural,,
rf-nat-0023,rf-natural-0003,candidate-0023,rulefaith_score_top1,RuleFaith deployable top-1,rf-edit-0033::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,0.97,accept
rf-nat-0024,rf-natural-0012,candidate-0024,qwen3_direct_natural,Qwen3 direct natural,rf-edit-0191::qwen3_8b::natural,,
rf-nat-0025,rf-natural-0009,candidate-0025,qwen3_direct_natural,Qwen3 direct natural,rf-edit-0138::qwen3_8b::natural,,
rf-nat-0026,rf-natural-0020,candidate-0026,qwen3_direct_natural,Qwen3 direct natural,rf-edit-0276::qwen3_8b::natural,,
rf-nat-0027,rf-natural-0017,candidate-0027,rulefaith_score_top1,RuleFaith deployable top-1,rf-edit-0265::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,0.97,accept
rf-nat-0028,rf-natural-0005,candidate-0028,rulefaith_score_top1,RuleFaith deployable top-1,rf-edit-0051::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,0.91,accept
rf-nat-0029,rf-natural-0018,candidate-0029,qwen3_direct_natural,Qwen3 direct natural,rf-edit-0267::qwen3_8b::natural,,
rf-nat-0030,rf-natural-0021,candidate-0030,qwen3_direct_natural,Qwen3 direct natural,rf-edit-0277::qwen3_8b::natural,,
rf-nat-0031,rf-natural-0010,candidate-0031,rulefaith_score_top1,RuleFaith deployable top-1,rf-edit-0163::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,0.67,refine
rf-nat-0032,rf-natural-0004,candidate-0032,qwen3_direct_rule_grounded,Qwen3 direct rule_grounded,rf-edit-0035::qwen3_8b::rule_grounded,,
rf-nat-0033,rf-natural-0022,candidate-0033,rulefaith_score_top1,RuleFaith deployable top-1,rf-edit-0284::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,0.97,accept
rf-nat-0034,rf-natural-0008,candidate-0034,rulefaith_score_top1,RuleFaith deployable top-1,rf-edit-0127::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,0.91,accept
rf-nat-0035,rf-natural-0023,candidate-0035,qwen3_direct_natural,Qwen3 direct natural,rf-edit-0292::qwen3_8b::natural,,
rf-nat-0036,rf-natural-0005,candidate-0036,qwen3_direct_natural,Qwen3 direct natural,rf-edit-0051::qwen3_8b::natural,,
rf-nat-0037,rf-natural-0015,candidate-0037,qwen3_direct_natural,Qwen3 direct natural,rf-edit-0255::qwen3_8b::natural,,
rf-nat-0038,rf-natural-0007,candidate-0038,rulefaith_score_top1,RuleFaith deployable top-1,rf-edit-0062::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,0.96,accept
rf-nat-0039,rf-natural-0001,candidate-0039,qwen3_direct_natural,Qwen3 direct natural,rf-edit-0016::qwen3_8b::natural,,
rf-nat-0040,rf-natural-0015,candidate-0040,rulefaith_score_top1,RuleFaith deployable top-1,rf-edit-0255::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,0.97,accept
rf-nat-0041,rf-natural-0009,candidate-0041,rulefaith_score_top1,RuleFaith deployable top-1,rf-edit-0138::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,0.97,accept
rf-nat-0042,rf-natural-0022,candidate-0042,qwen3_direct_natural,Qwen3 direct natural,rf-edit-0284::qwen3_8b::natural,,
rf-nat-0043,rf-natural-0013,candidate-0043,rulefaith_score_top1,RuleFaith deployable top-1,rf-edit-0199::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,0.91,accept
rf-nat-0044,rf-natural-0013,candidate-0044,qwen3_direct_natural,Qwen3 direct natural,rf-edit-0199::qwen3_8b::natural,,
rf-nat-0045,rf-natural-0006,candidate-0045,rulefaith_score_top1,RuleFaith deployable top-1,rf-edit-0058::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,0.97,accept
rf-nat-0046,rf-natural-0020,candidate-0046,rulefaith_score_top1,RuleFaith deployable top-1,rf-edit-0276::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,0.97,accept
