annotation_item_id,edit_group_id,candidate_id_blind,dataset,sample_id,model_key,model_family,error_type,error_category,source,model_prediction,model_edit,edit_description,edit_validity_claim,rule_text,evidence_spans_json,rationale,confidence,edit_alignment_label,edit_validity_label,rule_correctness_label,evidence_label,overall_faithfulness_label,learner_helpfulness_label,fluency_label,preference_label,notes
rf-nat-0024,rf-natural-0012,candidate-0024,JFLEG,jfleg-dev-0022,t5_base_grammar,sequence-to-sequence,U:DET,articles_determiners,Students can focus on only a few subjects they are intwerested in and they will become an experts in those areas . ,Students can focus on only a few subjects they are interested in and they will become experts in those areas.,"delete [16, 17) 'an' -> ''",Delete the article 'an' before 'experts',stylistic,Articles like 'a' or 'an' may be omitted when the noun they precede is clearly defined or when the context makes the noun's presence clear.,"[{""end"": 18, ""role"": ""original"", ""start"": 16, ""text"": ""and they will become an experts in those areas""}, {""end"": 18, ""role"": ""modified"", ""start"": 16, ""text"": ""and they will become experts in those areas""}]",The article 'an' is unnecessary before the plural noun 'experts' because the subject 'students' and the verb 'become' make it clear that the noun is plural. Removing 'an' results in more concise and natural phrasing.,0.95,,,,,,,,,
rf-nat-0025,rf-natural-0009,candidate-0025,EXPECT,expect-test-00009,t5_base_grammar,sequence-to-sequence,R:NOUN,lexical_choice,But such a high level of development of Egyptian civilization has a negative side as well as positive .,"There is a high level of development of Egyptian civilization, but there is a negative side as well as a positive side.","replace [9, 10) 'civilization' -> 'civilization,'","Replace 'civilization' with 'civilization,'",stylistic,A comma should be used after introductory phrases or clauses to separate them from the main clause.,"[{""end"": 15, ""role"": ""modified_text"", ""start"": 9, ""text"": ""civilization""}]","The addition of a comma after 'civilization' separates the introductory phrase from the main clause, improving clarity and adhering to standard punctuation rules. However, this edit is considered stylistic rather than grammatically necessary, as the sentence remains understandable without the comma.",0.9,,,,,,,,,
rf-nat-0041,rf-natural-0009,candidate-0041,EXPECT,expect-test-00009,t5_base_grammar,sequence-to-sequence,R:NOUN,lexical_choice,But such a high level of development of Egyptian civilization has a negative side as well as positive .,"There is a high level of development of Egyptian civilization, but there is a negative side as well as a positive side.","replace [9, 10) 'civilization' -> 'civilization,'","Replace 'civilization' with 'civilization,'",stylistic,A comma should be used after introductory elements to separate clauses.,"[{""end"": 10, ""role"": ""modified_text"", ""source"": ""kept_existing"", ""start"": 9, ""text"": ""civilization""}, {""end"": 10, ""role"": ""modified_token"", ""source"": ""structured_heuristic"", ""start"": 9, ""text"": ""civilization""}, {""end"": 9, ""role"": ""noun_number_context"", ""source"": ""structured_heuristic"", ""start"": 8, ""text"": ""Egyptian""}, {""end"": 11, ""role"": ""noun_phrase_context"", ""source"": ""structured_heuristic"", ""start"": 10, ""text"": ""has""}]","The edit adds a comma after 'civilization' to separate the introductory phrase from the main clause, which is a stylistic choice to improve readability and clarity. However, this comma is not strictly necessary for grammatical correctness, making the edit optional rather than mandatory. The cited source evidence is ""civilization"" as modified token; ""Egyptian"" as noun number context; ""has"" as noun phrase context.",0.85,,,,,,,,,
rf-nat-0014,rf-natural-0014,candidate-0014,JFLEG,jfleg-dev-0037,t5_base_grammar,sequence-to-sequence,R:PRON,lexical_choice,Third the butt it in hte front of the door of store to make the poeple see it even if it is not good ,"Third, they put it in front of the door of the store to make the people see it, even if it is not good.","replace [1, 2) 'the' -> 'they'",Replace 'the' with 'they' at the beginning of the sentence.,invalid,The subject and verb in a sentence must agree in number (singular/plural).,"[{""end"": 24, ""role"": ""original"", ""source"": ""kept_existing"", ""start"": 0, ""text"": ""Third the butt it in hte front of the door of store to make the poeple see it even if it is not good""}, {""end"": 1, ""role"": ""pronoun_antecedent_context"", ""source"": ""structured_heuristic"", ""start"": 0, ""text"": ""Third""}]","The original sentence starts with 'Third the', which is a grammatical error. The pronoun 'they' is needed to serve as the subject of the sentence, matching the verb 'put'. Replacing 'the' with 'they' corrects the subject-verb agreement but is not appropriate in this context because 'they' is not the subject of the sentence. The correct subject would be an implied action or entity, not the pronoun 'they'.",0.95,,,,,,,,,
rf-nat-0007,rf-natural-0004,candidate-0007,EXPECT,expect-test-00028,gector_roberta_base,sequence-to-edit,M:NOUN:POSS,lexical_choice,A worldwide war is the only case in which we would see a dramatic change in peoples lives in the time length of 50 years from now .,A worldwide war is the only case in which we will see a dramatic change in peoples ' lives in 50 years from now .,"insert [17, 17) '' -> '''",Insert an apostrophe after 'peoples' to form the possessive form 'peoples' correctly.,stylistic,Use an apostrophe to indicate possession in plural nouns.,"[{""end"": 17, ""role"": ""noun_number_context"", ""source"": ""structured_heuristic"", ""start"": 16, ""text"": ""peoples""}, {""end"": 18, ""role"": ""noun_phrase_context"", ""source"": ""structured_heuristic"", ""start"": 17, ""text"": ""lives""}]","The cited source evidence is ""peoples"" as noun number context; ""lives"" as noun phrase context. This evidence supports the rule that Use an apostrophe to indicate possession in plural nouns.",0.8,,,,,,,,,
rf-nat-0031,rf-natural-0010,candidate-0031,EXPECT,expect-test-00013,t5_base_grammar,sequence-to-sequence,R:PREP,prepositions,Computers have had a most significant impact on the people in the latter 1/2 of the 20th century .,Using the Internet for the first time since the beginning of the 20th century.,"replace [7, 8) 'on' -> 'for'",Replace 'on' with 'for' in the phrase 'have had a most significant impact on the people',acceptable_alternative,"Use 'for' to indicate the purpose or reason of an action, while 'on' is used for topics or subjects.","[{""end"": 10, ""role"": ""original"", ""source"": ""kept_existing"", ""start"": 1, ""text"": ""have had a most significant impact on the people""}, {""end"": 7, ""role"": ""preposition_governor"", ""source"": ""structured_heuristic"", ""start"": 6, ""text"": ""impact""}, {""end"": 10, ""role"": ""preposition_complement"", ""source"": ""structured_heuristic"", ""start"": 9, ""text"": ""people""}]","The original sentence uses 'on' which typically indicates a topic or subject, but the intended meaning seems to be about the purpose or reason of the impact. Replacing 'on' with 'for' better conveys that the impact was directed towards the people for a specific purpose, making the sentence more semantically accurate.",0.85,,,,,,,,,
rf-nat-0030,rf-natural-0021,candidate-0030,EXPECT,expect-test-00015,coedit_large,instruction-following text editor,M:DET,articles_determiners,Technology will have advanced and maybe the cars will fly above streets and computers will have totally changed .,"Technology will have advanced, and maybe cars will fly above the streets, and computers will have totally changed.","insert [11, 11) '' -> 'the'",Inserting 'the' before 'streets',stylistic,Nouns that refer to specific or general things should be preceded by articles like 'the' or 'a' when necessary.,"[{""end"": 15, ""role"": ""noun"", ""start"": 11, ""text"": ""streets""}]","The noun 'streets' in this context likely refers to a general concept rather than a specific set of streets, but the insertion of 'the' makes the sentence more natural and grammatically polished by providing a definite reference.",0.9,,,,,,,,,
rf-nat-0034,rf-natural-0008,candidate-0034,EXPECT,expect-test-00018,t5_base_grammar,sequence-to-sequence,R:PREP,prepositions,"I live in San Miguel Almoloyan , this is a village in the municipality of Almoloya de Juarez in the State of Mexico . Caring of the environment is very important and in my village they take different actions to care for it .","I live in San Miguel Almoloyan , this is a village in the municipality of Almoloya de Juarez in the State of Mexico . Caring for the environment is very important and in my village they take different actions to care for it.","replace [25, 26) 'of' -> 'for'",Replace 'of' with 'for' in the phrase 'Caring of the environment',valid,"The preposition 'for' is used to indicate purpose or benefit, while 'of' indicates possession or association.","[{""end"": 25, ""role"": ""preposition_governor"", ""source"": ""structured_heuristic"", ""start"": 24, ""text"": ""Caring""}, {""end"": 28, ""role"": ""preposition_complement"", ""source"": ""structured_heuristic"", ""start"": 27, ""text"": ""environment""}]","The phrase 'Caring of the environment' is grammatically incorrect because 'of' implies possession or association, which does not fit the context. The correct preposition is 'for', which indicates purpose or benefit. Therefore, replacing 'of' with 'for' improves the grammatical accuracy and clarity of the sentence.",0.95,,,,,,,,,
rf-nat-0035,rf-natural-0023,candidate-0035,EXPECT,expect-test-00008,coedit_large,instruction-following text editor,R:NOUN,lexical_choice,"I 'd like to tell you about my favorite restaurant its name is "" Lemon "" I go there every week it has different food to other restaurants I 'd like chicken crispy with garlic sauce It 's an Excellent choice for me and My favorite appitizer is susage and in order that dessert I 'd like "" Vadge "" cake with chocolate sauce I feel at ease when I go there I enjoy classical music while having lunch about the service It 's very good and all the staff are respectable I ca n't imagine one week without going there that would drive me nuts I advise everyone to go there and enjoy their time there , also this restaurant has a relative advantage in hygiene really It 's excellent The striking thing for anyone despite all of these advantages the prices are not expensive .","I 'd like to tell you about my favorite restaurant. It 's called "" Lemon "". I go there every week. It has different food than other restaurants. I 'd like chicken crispy with garlic sauce. It 's an excellent choice for me, and my favorite appitizer is sausage, and in order for dessert, I 'd like "" Vadge "" cake with chocolate sauce. I feel at ease when I go there. I enjoy classical music while having lunch, and the service is very good and all the staff are respectable. I can n't imagine one week without","replace [63, 64) 'sauce' -> 'sauce.'",Replace 'sauce' with 'sauce.',stylistic,A period should be used to end a sentence.,"[{""end"": 64, ""role"": ""token"", ""start"": 63, ""text"": ""sauce""}]","The word 'sauce' appears at the end of a sentence but lacks a period, which is necessary to properly terminate the sentence. Adding a period after 'sauce' makes the sentence grammatically complete and stylistically correct.",0.95,,,,,,,,,
rf-nat-0015,rf-natural-0021,candidate-0015,EXPECT,expect-test-00015,coedit_large,instruction-following text editor,M:DET,articles_determiners,Technology will have advanced and maybe the cars will fly above streets and computers will have totally changed .,"Technology will have advanced, and maybe cars will fly above the streets, and computers will have totally changed.","insert [11, 11) '' -> 'the'",Inserting 'the' before 'streets' to specify which streets are being referred to.,stylistic,Nouns that refer to specific or general things should be preceded by articles like 'the' or 'a'.,"[{""end"": 12, ""role"": ""head_noun"", ""source"": ""structured_heuristic"", ""start"": 11, ""text"": ""streets""}]","The cited source evidence is ""streets"" as head noun. This evidence supports the rule that Nouns that refer to specific or general things should be preceded by articles like 'the' or 'a'.",0.85,,,,,,,,,
rf-nat-0013,rf-natural-0002,candidate-0013,JFLEG,jfleg-dev-0032,gector_roberta_base,sequence-to-edit,R:WO,articles_determiners,Beacuse all those broad knowledge help they to understand their major in university as well as help they to make a correct choice in specializing study . ,"Because all this broad knowledge helps them to understand their major at university , as well as helps them to make a correct choice specializing in studies .","replace [23, 25) 'in specializing' -> 'specializing in'",Replace 'in specializing' with 'specializing in',stylistic,"The preposition 'in' should typically follow the verb 'specializing' when indicating the field of study, resulting in the phrase 'specializing in'.","[{""end"": 25, ""role"": ""source"", ""source"": ""kept_existing"", ""start"": 23, ""text"": ""in specializing""}, {""end"": 26, ""role"": ""head_noun"", ""source"": ""structured_heuristic"", ""start"": 25, ""text"": ""study""}]",The phrase 'specializing in' is the standard and more natural phrasing when referring to a field of study. Reversing the order to 'in specializing' is non-standard and less idiomatic in English.,0.95,,,,,,,,,
rf-nat-0028,rf-natural-0005,candidate-0028,EXPECT,expect-test-00018,gector_roberta_base,sequence-to-edit,R:PREP,prepositions,"I live in San Miguel Almoloyan , this is a village in the municipality of Almoloya de Juarez in the State of Mexico . Caring of the environment is very important and in my village they take different actions to care for it .",I live in San Miguel Almoloyan . This is a village in the municipality of Almoloya de Juarez in the State of Mexico . Caring for the environment is very important and in my village they take different actions to care for it .,"replace [25, 26) 'of' -> 'for'",Replace 'of' with 'for' in the phrase 'Caring of the environment',valid,"The preposition 'for' is used to indicate purpose or relation to something, whereas 'of' indicates possession or composition.","[{""end"": 25, ""role"": ""preposition_governor"", ""source"": ""structured_heuristic"", ""start"": 24, ""text"": ""Caring""}, {""end"": 28, ""role"": ""preposition_complement"", ""source"": ""structured_heuristic"", ""start"": 27, ""text"": ""environment""}]","The phrase 'Caring of the environment' is grammatically incorrect because 'of' does not convey the intended relationship between the action (caring) and its target (the environment). The correct preposition to use here is 'for', which indicates purpose or relation.",0.95,,,,,,,,,
rf-nat-0044,rf-natural-0013,candidate-0044,EXPECT,expect-test-00000,t5_base_grammar,sequence-to-sequence,R:PREP,prepositions,"In my community , we are very interested at the environment and ecological things .","In my community, we are very interested in the environment and ecological things.","replace [8, 9) 'at' -> 'in'",Replace 'at' with 'in' after 'interested',valid,"The preposition 'in' is used to indicate interest in something, whereas 'at' is typically used with specific locations or points.","[{""end"": 12, ""role"": ""error"", ""start"": 8, ""text"": ""interested at the environment""}, {""end"": 12, ""role"": ""correct"", ""start"": 8, ""text"": ""interested in the environment""}]","The phrase 'interested at' is grammatically incorrect when referring to interest in a subject like the environment. The correct preposition to use in this context is 'in', which indicates the object of interest.",0.95,,,,,,,,,
rf-nat-0033,rf-natural-0022,candidate-0033,EXPECT,expect-test-00017,coedit_large,instruction-following text editor,R:NOUN,lexical_choice,"Sometimes we go to partyies in the city , I dance in the parties with my friends .",Sometimes we go to parties in the city; I dance in the parties with my friends.,"replace [7, 8) 'city' -> 'city;'",Replace 'city' with 'city;',stylistic,Use semicolons to separate independent clauses when the clauses are closely related.,"[{""end"": 8, ""role"": ""source"", ""source"": ""kept_existing"", ""start"": 7, ""text"": ""city""}, {""end"": 8, ""role"": ""modified_token"", ""source"": ""structured_heuristic"", ""start"": 7, ""text"": ""city""}, {""end"": 5, ""role"": ""noun_number_context"", ""source"": ""structured_heuristic"", ""start"": 4, ""text"": ""partyies""}, {""end"": 10, ""role"": ""noun_phrase_context"", ""source"": ""structured_heuristic"", ""start"": 9, ""text"": ""I""}]","The cited source evidence is ""city"" as modified token; ""partyies"" as noun number context; ""I"" as noun phrase context. This evidence supports the rule that Use semicolons to separate independent clauses when the clauses are closely related.",0.8,,,,,,,,,
rf-nat-0002,rf-natural-0017,candidate-0002,EXPECT,expect-test-00001,coedit_large,instruction-following text editor,U:VERB,verb_form,"Technology has chanched people 's lives a lot . In fact we can think how different is our life compared either to our parents ' or our grandparents ' lives . For example my parents did n't watch tv , because there was n't any tv in the world when they were young.but that is n't the only difference : we can think about the mobile phone , the computer ed finally the internet.our grandparents could n't have imagined a strange machine like the computer in their lives .","Technology has changed people's lives a lot. In fact, we can think how different our lives are compared to either our parents' or our grandparents' lives. For example, my parents didn't watch tv because there wasn't any TV in the world when they were young. But that isn't the only difference: we can think about the mobile phone, the computer, and finally the internet. Our grandparents couldn't have imagined a strange machine like the computer in their lives.","delete [16, 17) 'is' -> ''",Delete the verb 'is' in the phrase 'how different is our lives',stylistic,"In sentences where the subject is followed by a complement (such as an adjective or noun), the verb 'be' may be omitted if the structure is clear.","[{""end"": 17, ""role"": ""deleted_text"", ""start"": 16, ""text"": ""how different is our lives""}]",The phrase 'how different is our lives' contains an unnecessary 'is' that can be omitted without changing the meaning. The structure 'how different our lives are' is more concise and natural in standard English usage.,0.95,,,,,,,,,
rf-nat-0038,rf-natural-0007,candidate-0038,JFLEG,jfleg-dev-0021,gector_roberta_base,sequence-to-edit,R:PRON,pronouns,We have to know this problem it 's serious but almost people doens't know about this . ,"We should know about this problem . It 's serious , but most people do know about it .","replace [15, 16) 'this' -> 'it'",Replace 'this' with 'it' to refer back to the previously mentioned problem.,acceptable_alternative,Use appropriate pronouns to refer back to previously mentioned nouns.,"[{""end"": 16, ""role"": ""antecedent"", ""source"": ""kept_existing"", ""start"": 15, ""text"": ""this""}, {""end"": 6, ""role"": ""antecedent"", ""source"": ""kept_existing"", ""start"": 5, ""text"": ""problem""}, {""end"": 15, ""role"": ""pronoun_antecedent_context"", ""source"": ""structured_heuristic"", ""start"": 14, ""text"": ""about""}]","The pronoun 'this' is used to refer to the problem, which is a singular noun. However, 'this' typically refers to a concrete object or situation, while 'it' is more appropriate for abstract concepts like a problem. Replacing 'this' with 'it' improves clarity and grammatical correctness.",0.85,,,,,,,,,
rf-nat-0021,rf-natural-0018,candidate-0021,EXPECT,expect-test-00009,coedit_large,instruction-following text editor,M:DET,articles_determiners,But such a high level of development of Egyptian civilization has a negative side as well as positive .,But such a high level of development of Egyptian civilization has a negative side as well as a positive side.,"insert [17, 17) '' -> 'a'",Inserting 'a' before 'positive' to complete the phrase 'as well as a positive side',valid,Use of articles (a/an) before singular countable nouns.,"[{""end"": 18, ""role"": ""affected_span"", ""source"": ""kept_existing"", ""start"": 14, ""text"": ""as well as positive""}, {""end"": 18, ""role"": ""head_noun"", ""source"": ""structured_heuristic"", ""start"": 17, ""text"": ""positive""}]","The cited source evidence is ""positive"" as head noun. This evidence supports the rule that Use of articles (a/an) before singular countable nouns.",0.8,,,,,,,,,
rf-nat-0029,rf-natural-0018,candidate-0029,EXPECT,expect-test-00009,coedit_large,instruction-following text editor,M:DET,articles_determiners,But such a high level of development of Egyptian civilization has a negative side as well as positive .,But such a high level of development of Egyptian civilization has a negative side as well as a positive side.,"insert [17, 17) '' -> 'a'",Inserting 'a' before 'positive' to complete the phrase 'as well as a positive side',valid,Use of articles (a/an) before singular countable nouns.,"[{""end"": 26, ""role"": ""affected_span"", ""start"": 17, ""text"": ""as well as positive""}]",The phrase 'as well as positive' lacks an article before the singular countable noun 'positive'. Inserting 'a' makes the sentence grammatically correct by providing the necessary article.,0.95,,,,,,,,,
rf-nat-0012,rf-natural-0014,candidate-0012,JFLEG,jfleg-dev-0037,t5_base_grammar,sequence-to-sequence,R:PRON,lexical_choice,Third the butt it in hte front of the door of store to make the poeple see it even if it is not good ,"Third, they put it in front of the door of the store to make the people see it, even if it is not good.","replace [1, 2) 'the' -> 'they'",Replace 'the' with 'they' at the beginning of the sentence.,invalid,The subject and verb in a sentence must agree in number (singular/plural).,"[{""end"": 5, ""role"": ""original"", ""start"": 0, ""text"": ""Third the butt it in hte front of the door of store to make the poeple see it even if it is not good""}, {""end"": 5, ""role"": ""corrected"", ""start"": 0, ""text"": ""Third, they put it in front of the door of the store to make the people see it, even if it is not good.""}]","The original sentence starts with 'Third the', which is a grammatical error. The pronoun 'they' is needed to serve as the subject of the sentence, matching the verb 'put'. Replacing 'the' with 'they' corrects the subject-verb agreement but is not appropriate in this context because 'they' is not the subject of the sentence. The correct subject would be an implied action or entity, not the pronoun 'they'.",0.95,,,,,,,,,
rf-nat-0020,rf-natural-0012,candidate-0020,JFLEG,jfleg-dev-0022,t5_base_grammar,sequence-to-sequence,U:DET,articles_determiners,Students can focus on only a few subjects they are intwerested in and they will become an experts in those areas . ,Students can focus on only a few subjects they are interested in and they will become experts in those areas.,"delete [16, 17) 'an' -> ''",Delete the article 'an' before 'experts',stylistic,Articles like 'a' or 'an' may be omitted when the noun they precede is clearly defined or when the context makes the noun's presence clear.,"[{""end"": 21, ""role"": ""original"", ""source"": ""kept_existing"", ""start"": 12, ""text"": ""and they will become an experts in those areas""}, {""end"": 18, ""role"": ""head_noun"", ""source"": ""structured_heuristic"", ""start"": 17, ""text"": ""experts""}]",The article 'an' is unnecessary before the plural noun 'experts' because the subject 'students' and the verb 'become' make it clear that the noun is plural. Removing 'an' results in more concise and natural phrasing.,0.95,,,,,,,,,
