candidate_id,bucket,audit_priority,candidate_type,dataset,model_key,behavior,operation,error_type,risk_count,risk_reasons
rf-edit-0033::qwen3_8b::natural,accepted,risk,natural,EXPECT,gector_roberta_base,overcorrection,delete,U:DET,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_text_not_found_in_source;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;edit_copy;unsupported_confidence
rf-edit-0052::qwen3_8b::rule_grounded,accepted,risk,rule_grounded,JFLEG,gector_roberta_base,wrong_correction,replace,R:OTHER,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0081::qwen3_8b::rule_grounded,accepted,risk,rule_grounded,EXPECT,gector_roberta_base,correct_correction,replace,R:ADV,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0114::qwen3_8b::rule_grounded,accepted,risk,rule_grounded,JFLEG,gector_roberta_base,overcorrection,replace,R:VERB:FORM,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0199::qwen3_8b::natural,accepted,risk,natural,EXPECT,t5_base_grammar,correct_correction,replace,R:PREP,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0199::qwen3_8b::rule_grounded,accepted,risk,rule_grounded,EXPECT,t5_base_grammar,correct_correction,replace,R:PREP,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0225::qwen3_8b::natural,accepted,risk,natural,JFLEG,t5_base_grammar,wrong_correction,replace,R:PRON,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0264::qwen3_8b::natural,accepted,risk,natural,EXPECT,coedit_large,correct_correction,replace,R:PREP,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0264::qwen3_8b::rule_grounded,accepted,risk,rule_grounded,EXPECT,coedit_large,correct_correction,replace,R:PREP,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0016::qwen3_8b::natural,accepted,risk,natural,JFLEG,gector_roberta_base,correct_correction,delete,U:DET,7,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;edit_copy;unsupported_confidence
rf-edit-0016::qwen3_8b::rule_grounded,accepted,risk,rule_grounded,JFLEG,gector_roberta_base,correct_correction,delete,U:DET,7,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;edit_copy;unsupported_confidence
rf-edit-0062::qwen3_8b::rule_grounded,accepted,risk,rule_grounded,JFLEG,gector_roberta_base,correct_correction,replace,R:PRON,7,evidence_span_index_mismatch;evidence_not_all_source_index_matched;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0068::qwen3_8b::rule_grounded,accepted,risk,rule_grounded,JFLEG,gector_roberta_base,correct_correction,replace,R:OTHER,7,evidence_span_index_mismatch;evidence_not_all_source_index_matched;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0077::qwen3_8b::natural,accepted,risk,natural,EXPECT,gector_roberta_base,correct_correction,replace,R:NOUN:NUM,7,evidence_span_index_mismatch;evidence_not_all_source_index_matched;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0077::qwen3_8b::rule_grounded,accepted,risk,rule_grounded,EXPECT,gector_roberta_base,correct_correction,replace,R:NOUN:NUM,7,evidence_span_index_mismatch;evidence_not_all_source_index_matched;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0118::qwen3_8b::natural,accepted,risk,natural,JFLEG,gector_roberta_base,overcorrection,replace,R:OTHER,7,evidence_span_index_mismatch;evidence_not_all_source_index_matched;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0118::qwen3_8b::rule_grounded,accepted,risk,rule_grounded,JFLEG,gector_roberta_base,overcorrection,replace,R:OTHER,7,evidence_span_index_mismatch;evidence_not_all_source_index_matched;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0163::qwen3_8b::rule_grounded,accepted,risk,rule_grounded,EXPECT,t5_base_grammar,overcorrection,replace,R:PREP,7,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy
rf-edit-0165::qwen3_8b::natural,accepted,risk,natural,EXPECT,t5_base_grammar,correct_correction,insert,M:DET,7,evidence_span_index_mismatch;evidence_not_all_source_index_matched;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0191::qwen3_8b::natural,accepted,risk,natural,JFLEG,t5_base_grammar,correct_correction,delete,U:DET,7,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;edit_copy;unsupported_confidence
rf-edit-0191::qwen3_8b::rule_grounded,accepted,risk,rule_grounded,JFLEG,t5_base_grammar,correct_correction,delete,U:DET,7,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;edit_copy;unsupported_confidence
rf-edit-0074::qwen3_8b::rule_grounded,refine,stratum:behavior=overcorrection,rule_grounded,EXPECT,gector_roberta_base,overcorrection,insert,M:VERB:TENSE,11,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;possible_false_rationalization;unsupported_confidence;validity_error_auto;semantic_distortion_auto
rf-edit-0141::qwen3_8b::natural,refine,stratum:model_key=t5_base_grammar,natural,JFLEG,t5_base_grammar,overcorrection,replace,R:ADJ,11,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;possible_false_rationalization;unsupported_confidence;validity_error_auto;semantic_distortion_auto
rf-edit-0034::qwen3_8b::natural,refine,risk,natural,JFLEG,gector_roberta_base,wrong_correction,replace,R:VERB:FORM,10,evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;possible_false_rationalization;unsupported_confidence;validity_error_auto;semantic_distortion_auto
rf-edit-0034::qwen3_8b::rule_grounded,refine,risk,rule_grounded,JFLEG,gector_roberta_base,wrong_correction,replace,R:VERB:FORM,10,evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;possible_false_rationalization;unsupported_confidence;validity_error_auto;semantic_distortion_auto
rf-edit-0074::qwen3_8b::natural,refine,risk,natural,EXPECT,gector_roberta_base,overcorrection,insert,M:VERB:TENSE,10,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence;validity_error_auto;semantic_distortion_auto
rf-edit-0107::qwen3_8b::natural,refine,risk,natural,JFLEG,gector_roberta_base,wrong_correction,replace,R:VERB:FORM,10,evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;possible_false_rationalization;unsupported_confidence;validity_error_auto;semantic_distortion_auto
rf-edit-0107::qwen3_8b::rule_grounded,refine,risk,rule_grounded,JFLEG,gector_roberta_base,wrong_correction,replace,R:VERB:FORM,10,evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;possible_false_rationalization;unsupported_confidence;validity_error_auto;semantic_distortion_auto
rf-edit-0207::qwen3_8b::natural,refine,risk,natural,JFLEG,t5_base_grammar,wrong_correction,replace,R:OTHER,10,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence;validity_error_auto;semantic_distortion_auto
rf-edit-0207::qwen3_8b::rule_grounded,refine,risk,rule_grounded,JFLEG,t5_base_grammar,wrong_correction,replace,R:OTHER,10,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence;validity_error_auto;semantic_distortion_auto
rf-edit-0236::qwen3_8b::natural,refine,risk,natural,EXPECT,t5_base_grammar,overcorrection,replace,R:OTHER,9,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_text_not_found_in_source;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0236::qwen3_8b::rule_grounded,refine,risk,rule_grounded,EXPECT,t5_base_grammar,overcorrection,replace,R:OTHER,9,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_text_not_found_in_source;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0268::qwen3_8b::rule_grounded,refine,risk,rule_grounded,EXPECT,coedit_large,overcorrection,replace,R:NOUN,9,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_text_not_found_in_source;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0024::qwen3_8b::natural,refine,risk,natural,JFLEG,gector_roberta_base,wrong_correction,insert,M:PUNCT,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0024::qwen3_8b::rule_grounded,refine,risk,rule_grounded,JFLEG,gector_roberta_base,wrong_correction,insert,M:PUNCT,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0035::qwen3_8b::rule_grounded,refine,risk,rule_grounded,EXPECT,gector_roberta_base,overcorrection,insert,M:NOUN:POSS,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0051::qwen3_8b::natural,refine,risk,natural,EXPECT,gector_roberta_base,correct_correction,replace,R:PREP,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0051::qwen3_8b::rule_grounded,refine,risk,rule_grounded,EXPECT,gector_roberta_base,correct_correction,replace,R:PREP,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0052::qwen3_8b::natural,refine,risk,natural,JFLEG,gector_roberta_base,wrong_correction,replace,R:OTHER,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0068::qwen3_8b::natural,refine,risk,natural,JFLEG,gector_roberta_base,correct_correction,replace,R:OTHER,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0081::qwen3_8b::natural,refine,risk,natural,EXPECT,gector_roberta_base,correct_correction,replace,R:ADV,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0111::qwen3_8b::natural,refine,risk,natural,EXPECT,gector_roberta_base,correct_correction,replace,R:MORPH,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0111::qwen3_8b::rule_grounded,refine,risk,rule_grounded,EXPECT,gector_roberta_base,correct_correction,replace,R:MORPH,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0114::qwen3_8b::natural,refine,risk,natural,JFLEG,gector_roberta_base,overcorrection,replace,R:VERB:FORM,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0127::qwen3_8b::natural,refine,risk,natural,EXPECT,t5_base_grammar,correct_correction,replace,R:PREP,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0127::qwen3_8b::rule_grounded,refine,risk,rule_grounded,EXPECT,t5_base_grammar,correct_correction,replace,R:PREP,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0141::qwen3_8b::rule_grounded,refine,risk,rule_grounded,JFLEG,t5_base_grammar,overcorrection,replace,R:ADJ,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0165::qwen3_8b::rule_grounded,refine,risk,rule_grounded,EXPECT,t5_base_grammar,correct_correction,insert,M:DET,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0225::qwen3_8b::rule_grounded,refine,risk,rule_grounded,JFLEG,t5_base_grammar,wrong_correction,replace,R:PRON,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0248::qwen3_8b::rule_grounded,refine,risk,rule_grounded,EXPECT,coedit_large,wrong_correction,replace,R:OTHER,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0257::qwen3_8b::natural,refine,risk,natural,EXPECT,coedit_large,overcorrection,replace,R:OTHER,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0257::qwen3_8b::rule_grounded,refine,risk,rule_grounded,EXPECT,coedit_large,overcorrection,replace,R:OTHER,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0267::qwen3_8b::rule_grounded,refine,risk,rule_grounded,EXPECT,coedit_large,correct_correction,insert,M:DET,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0284::qwen3_8b::natural,refine,risk,natural,EXPECT,coedit_large,overcorrection,replace,R:NOUN,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0284::qwen3_8b::rule_grounded,refine,risk,rule_grounded,EXPECT,coedit_large,overcorrection,replace,R:NOUN,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0242::qwen3_8b::rule_grounded,rejected,stratum:bucket=rejected,rule_grounded,EXPECT,coedit_large,overcorrection,replace,R:SPELL,10,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;unsupported_confidence;alignment_error;validity_error_auto;semantic_distortion_auto
rf-edit-0251::qwen3_8b::natural,rejected,risk,natural,EXPECT,coedit_large,overcorrection,replace,R:NOUN,10,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_text_not_found_in_source;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence;alignment_error
rf-edit-0251::qwen3_8b::rule_grounded,rejected,risk,rule_grounded,EXPECT,coedit_large,overcorrection,replace,R:NOUN,10,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_text_not_found_in_source;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence;alignment_error
rf-edit-0025::qwen3_8b::natural,rejected,stratum:behavior=correct_correction,natural,EXPECT,gector_roberta_base,correct_correction,delete,U:DET,9,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_text_not_found_in_source;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;edit_copy;unsupported_confidence;alignment_error
rf-edit-0025::qwen3_8b::rule_grounded,rejected,risk,rule_grounded,EXPECT,gector_roberta_base,correct_correction,delete,U:DET,9,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_text_not_found_in_source;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;edit_copy;unsupported_confidence;alignment_error
rf-edit-0033::qwen3_8b::rule_grounded,rejected,risk,rule_grounded,EXPECT,gector_roberta_base,overcorrection,delete,U:DET,9,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_text_not_found_in_source;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;edit_copy;unsupported_confidence;alignment_error
rf-edit-0125::qwen3_8b::rule_grounded,rejected,risk,rule_grounded,EXPECT,t5_base_grammar,overcorrection,delete,U:CONJ,9,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_text_not_found_in_source;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;edit_copy;unsupported_confidence;alignment_error
rf-edit-0147::qwen3_8b::rule_grounded,rejected,risk,rule_grounded,JFLEG,t5_base_grammar,overcorrection,replace,R:NOUN,9,evidence_span_index_mismatch;evidence_not_all_source_index_matched;missing_evidence;wrong_evidence_auto;possible_false_rationalization;unsupported_confidence;alignment_error;validity_error_auto;semantic_distortion_auto
rf-edit-0242::qwen3_8b::natural,rejected,risk,natural,EXPECT,coedit_large,overcorrection,replace,R:SPELL,9,evidence_span_index_mismatch;evidence_not_all_source_index_matched;missing_evidence;wrong_evidence_auto;target_copy;unsupported_confidence;alignment_error;validity_error_auto;semantic_distortion_auto
rf-edit-0291::qwen3_8b::natural,rejected,risk,natural,EXPECT,coedit_large,overcorrection,replace,R:SPELL,9,evidence_span_index_mismatch;evidence_not_all_source_index_matched;missing_evidence;wrong_evidence_auto;possible_false_rationalization;unsupported_confidence;alignment_error;validity_error_auto;semantic_distortion_auto
rf-edit-0291::qwen3_8b::rule_grounded,rejected,risk,rule_grounded,EXPECT,coedit_large,overcorrection,replace,R:SPELL,9,evidence_span_index_mismatch;evidence_not_all_source_index_matched;missing_evidence;wrong_evidence_auto;possible_false_rationalization;unsupported_confidence;alignment_error;validity_error_auto;semantic_distortion_auto
rf-edit-0009::qwen3_8b::natural,rejected,risk,natural,JFLEG,gector_roberta_base,correct_correction,replace,R:VERB:SVA,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence;alignment_error
rf-edit-0009::qwen3_8b::rule_grounded,rejected,risk,rule_grounded,JFLEG,gector_roberta_base,correct_correction,replace,R:VERB:SVA,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence;alignment_error
rf-edit-0217::qwen3_8b::natural,rejected,risk,natural,EXPECT,t5_base_grammar,wrong_correction,replace,R:SPELL,8,evidence_not_all_source_index_matched;evidence_prediction_only_text;wrong_evidence_auto;possible_false_rationalization;unsupported_confidence;alignment_error;validity_error_auto;semantic_distortion_auto
rf-edit-0268::qwen3_8b::natural,rejected,risk,natural,EXPECT,coedit_large,overcorrection,replace,R:NOUN,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_text_not_found_in_source;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;unsupported_confidence;alignment_error
