candidate_id,dataset,sample_id,model_key,source,model_prediction,operation,edit_start,edit_end,source_text,target_text,edit_description,edit_validity,rule_text,evidence_spans_json,rationale,confidence,human_alignment_error,human_validity_error,human_wrong_rule,human_inapplicable_rule,human_missing_evidence,human_wrong_evidence,human_generic_explanation,human_edit_copy,human_semantic_distortion,human_unsupported_confidence,human_notes,human_decision,bucket,audit_priority,candidate_type,behavior,error_type,risk_count,risk_reasons
rf-edit-0033::qwen3_8b::natural,EXPECT,expect-test-00040,gector_roberta_base,"I think about transport that the government should help the public transport , for example buses , train , the metro and more , for a single reason : the quality of life against the pollution .","I think about transport that the government should help public transport , for example buses , trains , the metro and more , for a single reason : the quality of life against pollution .",delete,34,35,the,,Delete the article 'the' before 'pollution'.,stylistic,Articles like 'the' may be omitted when they are redundant or when the noun phrase is clearly understood without them.,"[{""end"": 39, ""role"": ""original"", ""start"": 34, ""text"": ""the quality of life against pollution""}, {""end"": 39, ""role"": ""modified"", ""start"": 34, ""text"": ""quality of life against pollution""}]","The article 'the' before 'pollution' is stylistically unnecessary because it is already clear from context that the comparison is between quality of life and pollution, without requiring a definite article. Removing 'the' makes the sentence more concise and natural.",0.9,no,no,no,no,yes,yes,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, wrong_evidence, edit_copy, unsupported_confidence.",refine,accepted,risk,natural,overcorrection,U:DET,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_text_not_found_in_source;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;edit_copy;unsupported_confidence
rf-edit-0052::qwen3_8b::rule_grounded,JFLEG,jfleg-dev-0017,gector_roberta_base,because they spent time unmeaningful subjects .,because they spent time on important subjects .,replace,4,5,unmeaningful,on important,Replace 'unmeaningful' with 'on important',invalid,A subject complement should follow a linking verb and provide information about the subject.,"[{""end"": 31, ""role"": ""original"", ""start"": 0, ""text"": ""because they spent time unmeaningful subjects""}, {""end"": 31, ""role"": ""modified"", ""start"": 0, ""text"": ""because they spent time on important subjects""}]","The original phrase 'unmeaningful subjects' is grammatically incorrect because it lacks a preposition to connect 'time' with 'subjects'. The replacement 'on important subjects' introduces a preposition ('on') which is necessary for proper syntax, but the replacement of 'unmeaningful' with 'important' changes the meaning of the sentence in a way that is not logically consistent with the original intent. The edit is invalid because it alters the meaning of the sentence without justification.",0.95,no,no,no,no,yes,yes,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, wrong_evidence, edit_copy, unsupported_confidence.",refine,accepted,risk,rule_grounded,wrong_correction,R:OTHER,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0081::qwen3_8b::rule_grounded,EXPECT,expect-test-00054,gector_roberta_base,He has ever been with me .,He has always been with me .,replace,2,3,ever,always,Replace 'ever' with 'always' in the sentence.,valid,Use 'always' to indicate a continuous state over time when expressing ongoing presence or action.,"[{""end"": 6, ""role"": ""error"", ""start"": 2, ""text"": ""He has ever been with me""}, {""end"": 8, ""role"": ""corrected"", ""start"": 2, ""text"": ""He has always been with me""}]","The word 'ever' is used to indicate a past occurrence, which does not fit the context of the sentence implying a continuous presence. 'Always' correctly conveys the idea of ongoing presence throughout time.",0.95,no,no,no,no,yes,yes,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, wrong_evidence, edit_copy, unsupported_confidence.",refine,accepted,risk,rule_grounded,correct_correction,R:ADV,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0114::qwen3_8b::rule_grounded,JFLEG,jfleg-dev-0035,gector_roberta_base,"If every people thinks to learn and understand lots of scientifc subjects , any person will do not do it and as a result of this any science is n't imporeved .","If everybody thinks about learning and understanding lots of scientific subjects , people will not do it and , as a result of this , any science will n't improve .",replace,7,8,understand,understanding,Replace 'understand' with 'ing' form 'understanding',stylistic,Use noun forms in parallel structures for consistency and grammatical correctness.,"[{""end"": 12, ""role"": ""target"", ""start"": 7, ""text"": ""understand""}, {""end"": 15, ""role"": ""context"", ""start"": 9, ""text"": ""learning""}]","The verb 'understand' is replaced with its noun form 'understanding' to maintain parallelism with 'learning', which is already in the noun form. This creates a more consistent and grammatically balanced structure in the sentence.",0.9,no,no,no,no,yes,yes,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, wrong_evidence, edit_copy, unsupported_confidence.",refine,accepted,risk,rule_grounded,overcorrection,R:VERB:FORM,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0199::qwen3_8b::natural,EXPECT,expect-test-00000,t5_base_grammar,"In my community , we are very interested at the environment and ecological things .","In my community, we are very interested in the environment and ecological things.",replace,8,9,at,in,Replace 'at' with 'in' after 'interested',valid,"The preposition 'in' is used to indicate interest in something, whereas 'at' is typically used with specific locations or points.","[{""end"": 12, ""role"": ""error"", ""start"": 8, ""text"": ""interested at the environment""}, {""end"": 12, ""role"": ""correct"", ""start"": 8, ""text"": ""interested in the environment""}]","The phrase 'interested at' is grammatically incorrect when referring to interest in a subject like the environment. The correct preposition to use in this context is 'in', which indicates the object of interest.",0.95,no,no,no,no,yes,yes,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, wrong_evidence, edit_copy, unsupported_confidence.",refine,accepted,risk,natural,correct_correction,R:PREP,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0199::qwen3_8b::rule_grounded,EXPECT,expect-test-00000,t5_base_grammar,"In my community , we are very interested at the environment and ecological things .","In my community, we are very interested in the environment and ecological things.",replace,8,9,at,in,Replace 'at' with 'in' after 'interested',valid,"The preposition 'in' is used to indicate interest in something, whereas 'at' is typically used with specific locations or points.","[{""end"": 12, ""role"": ""error_span"", ""start"": 8, ""text"": ""interested at the environment""}, {""end"": 12, ""role"": ""corrected_span"", ""start"": 8, ""text"": ""interested in the environment""}]","The phrase 'interested in' is a standard collocation used to express interest in a subject, such as the environment. The preposition 'at' is not appropriate here because it typically refers to specific locations or points rather than abstract concepts like the environment.",0.95,no,no,no,no,yes,yes,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, wrong_evidence, edit_copy, unsupported_confidence.",refine,accepted,risk,rule_grounded,correct_correction,R:PREP,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0225::qwen3_8b::natural,JFLEG,jfleg-dev-0037,t5_base_grammar,Third the butt it in hte front of the door of store to make the poeple see it even if it is not good,"Third, they put it in front of the door of the store to make the people see it, even if it is not good.",replace,1,2,the,they,Replace 'the' with 'they' at the beginning of the sentence.,invalid,The subject and verb in a sentence must agree in number (singular/plural).,"[{""end"": 5, ""role"": ""original"", ""start"": 0, ""text"": ""Third the butt it in hte front of the door of store to make the poeple see it even if it is not good""}, {""end"": 5, ""role"": ""corrected"", ""start"": 0, ""text"": ""Third, they put it in front of the door of the store to make the people see it, even if it is not good.""}]","The original sentence starts with 'Third the', which is a grammatical error. The pronoun 'they' is needed to serve as the subject of the sentence, matching the verb 'put'. Replacing 'the' with 'they' corrects the subject-verb agreement but is not appropriate in this context because 'they' is not the subject of the sentence. The correct subject would be an implied action or entity, not the pronoun 'they'.",0.95,no,no,no,no,yes,yes,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, wrong_evidence, edit_copy, unsupported_confidence.",refine,accepted,risk,natural,wrong_correction,R:PRON,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0264::qwen3_8b::natural,EXPECT,expect-test-00000,coedit_large,"In my community , we are very interested at the environment and ecological things .","In my community, we are very interested in the environment and ecological things.",replace,8,9,at,in,Replace 'at' with 'in' after 'interested',valid,"The preposition 'in' is used to indicate interest in something, whereas 'at' is typically used with specific locations or points.","[{""end"": 12, ""role"": ""error"", ""start"": 8, ""text"": ""interested at the environment""}, {""end"": 12, ""role"": ""correct"", ""start"": 8, ""text"": ""interested in the environment""}]","The phrase 'interested at' is grammatically incorrect when referring to interest in a subject like the environment. The correct preposition to use in this context is 'in', which indicates the object of interest.",0.95,no,no,no,no,yes,yes,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, wrong_evidence, edit_copy, unsupported_confidence.",refine,accepted,risk,natural,correct_correction,R:PREP,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0264::qwen3_8b::rule_grounded,EXPECT,expect-test-00000,coedit_large,"In my community , we are very interested at the environment and ecological things .","In my community, we are very interested in the environment and ecological things.",replace,8,9,at,in,Replace 'at' with 'in' after 'interested',valid,"The preposition 'in' is used to indicate interest in something, whereas 'at' is typically used with specific locations or points.","[{""end"": 12, ""role"": ""error_span"", ""start"": 8, ""text"": ""interested at the environment""}, {""end"": 12, ""role"": ""corrected_span"", ""start"": 8, ""text"": ""interested in the environment""}]","The phrase 'interested in' is a standard collocation used to express interest in a subject, such as the environment. The preposition 'at' is not appropriate here because it typically refers to specific locations or points rather than abstract concepts like the environment.",0.95,no,no,no,no,yes,yes,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, wrong_evidence, edit_copy, unsupported_confidence.",refine,accepted,risk,rule_grounded,correct_correction,R:PREP,8,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0016::qwen3_8b::natural,JFLEG,jfleg-dev-0022,gector_roberta_base,Students can focus on only a few subjects they are intwerested in and they will become an experts in those areas .,Students can focus on only a few subjects they are interested in and they will become experts in those areas .,delete,16,17,an,,Delete the article 'an' before 'experts',stylistic,Articles like 'a' or 'an' may be omitted when the noun is clearly defined or when the context makes the number clear.,"[{""end"": 18, ""role"": ""original"", ""start"": 16, ""text"": ""and they will become an experts in those areas""}, {""end"": 18, ""role"": ""modified"", ""start"": 16, ""text"": ""and they will become experts in those areas""}]",The article 'an' is unnecessary before the plural noun 'experts' because the subject 'students' implies multiple individuals who can become experts. Removing 'an' improves clarity and grammatical correctness in this context.,0.95,no,no,no,no,yes,yes,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, wrong_evidence, edit_copy, unsupported_confidence.",refine,accepted,risk,natural,correct_correction,U:DET,7,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;edit_copy;unsupported_confidence
rf-edit-0016::qwen3_8b::rule_grounded,JFLEG,jfleg-dev-0022,gector_roberta_base,Students can focus on only a few subjects they are intwerested in and they will become an experts in those areas .,Students can focus on only a few subjects they are interested in and they will become experts in those areas .,delete,16,17,an,,Delete the article 'an' before 'experts',stylistic,Avoid unnecessary articles when the noun is clearly defined or when the context makes the article redundant.,"[{""end"": 18, ""role"": ""original"", ""start"": 16, ""text"": ""they will become an experts in those areas""}, {""end"": 18, ""role"": ""modified"", ""start"": 16, ""text"": ""they will become experts in those areas""}]",The article 'an' is unnecessary before the plural noun 'experts' because 'experts' is already plural and does not require an article. Removing 'an' improves clarity and conciseness without altering the meaning.,0.95,no,no,no,no,yes,yes,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, wrong_evidence, edit_copy, unsupported_confidence.",refine,accepted,risk,rule_grounded,correct_correction,U:DET,7,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;edit_copy;unsupported_confidence
rf-edit-0062::qwen3_8b::rule_grounded,JFLEG,jfleg-dev-0021,gector_roberta_base,We have to know this problem it 's serious but almost people doens't know about this .,"We should know about this problem . It 's serious , but most people do know about it .",replace,15,16,this,it,Replace 'this' with 'it' to refer back to the previously mentioned problem.,acceptable_alternative,Use a pronoun to refer back to a previously mentioned noun to avoid repetition.,"[{""end"": 12, ""role"": ""antecedent"", ""start"": 7, ""text"": ""problem""}, {""end"": 18, ""role"": ""repetition"", ""start"": 15, ""text"": ""this""}]","The word 'this' is used to refer to the problem mentioned earlier, but 'it' is more appropriate as a pronoun to avoid repetition and improve clarity.",0.9,no,no,no,no,yes,yes,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, wrong_evidence, edit_copy, unsupported_confidence.",refine,accepted,risk,rule_grounded,correct_correction,R:PRON,7,evidence_span_index_mismatch;evidence_not_all_source_index_matched;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0068::qwen3_8b::rule_grounded,JFLEG,jfleg-dev-0021,gector_roberta_base,We have to know this problem it 's serious but almost people doens't know about this .,"We should know about this problem . It 's serious , but most people do know about it .",replace,10,11,almost,most,Replace 'almost' with 'most' to indicate a majority rather than a near-complete lack.,acceptable_alternative,"Use 'most' to indicate a majority when referring to a group, and 'almost' to indicate something is nearly complete.","[{""end"": 14, ""role"": ""error"", ""start"": 10, ""text"": ""almost""}, {""end"": 23, ""role"": ""spelling"", ""start"": 15, ""text"": ""doens't""}]","The word 'almost' is used incorrectly in the context of indicating a majority. 'Most' is the appropriate term to convey that the majority of people are aware of the issue, which aligns with the intended meaning of the sentence.",0.9,no,no,no,no,yes,yes,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, wrong_evidence, edit_copy, unsupported_confidence.",refine,accepted,risk,rule_grounded,correct_correction,R:OTHER,7,evidence_span_index_mismatch;evidence_not_all_source_index_matched;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
