counterfactual_model_prediction,counterfactual_source,counterfactual_validity_label,dataset,error_type,evidence_label,explanation,explanation_type,faithfulness_label,item_id,model_behavior,model_edit,model_family,model_key,model_prediction,notes,original_model_prediction,original_source,question,rule_correctness_label,simulated_behavior_label,source,task_type,variant_family,variant_strategy
,,,EXPECT,R:ORTH,,"The sentence should change from ""it."" back to ""it ."".",wrong_direction,,r10-faith-01156,overcorrection,"replace ""it ."" with ""it.""",instruction-following text editor,coedit_large,"I live in San Miguel Almoloyan, this is a village in the municipality of Almoloya de Juarez in the State of Mexico. Caring of the environment is very important, and in my village, they take different actions to care for it.",,,,Does the explanation faithfully describe why the model made this specific edit?,,,"I live in San Miguel Almoloyan , this is a village in the municipality of Almoloya de Juarez in the State of Mexico . Caring of the environment is very important and in my village they take different actions to care for it .",edit_explanation_faithfulness,,
,,,EXPECT,R:ORTH,,Use a comma because every grammar error here is punctuation-related.,wrong_rule,,r10-faith-00517,overcorrection,"replace ""classmates ."" with ""classmates.""",instruction-following text editor,coedit_large,"In conclusion, I think that this type of food and atmosphere is very good for us because normally, we speak about books, work, and studies, whereas with this type of environment, we can speak about ourselves, our family, our hobbies, and everyone will get to know something new about other classmates.",,,,Does the explanation faithfully describe why the model made this specific edit?,,,"In conclusion , I think that this type of food and atmosphere is very for us , because normally we speak about books , work and studies , whereas with this type of environment we can speak about ourselves , our family , our hobbies and everyone will get to know new something about other classmates .",edit_explanation_faithfulness,,
,,,EXPECT,R:ORTH,,"This edit should replace ""the"".",wrong_target,,r10-faith-00395,overcorrection,"replace ""conclusion ,"" with ""conclusion,""",instruction-following text editor,coedit_large,"In conclusion, I think that this type of food and atmosphere is very good for us because normally, we speak about books, work, and studies, whereas with this type of environment, we can speak about ourselves, our family, our hobbies, and everyone will get to know something new about other classmates.",,,,Does the explanation faithfully describe why the model made this specific edit?,,,"In conclusion , I think that this type of food and atmosphere is very for us , because normally we speak about books , work and studies , whereas with this type of environment we can speak about ourselves , our family , our hobbies and everyone will get to know new something about other classmates .",edit_explanation_faithfulness,,
,,,EXPECT,M:DET,,"This edit should insert ""the"" at source span [10,10) for M:DET.",explicit_template,,r10-faith-00360,wrong_correction,"insert ""the""",instruction-following text editor,coedit_large,They were planning to steal a very precious thing from the museum tonight.,,,,Does the explanation faithfully describe why the model made this specific edit?,,,They were planning to steal a very precious thing from Museum tonight .,edit_explanation_faithfulness,,
,,,EXPECT,M:PUNCT,,"The phrase near span [10,12) violates M:PUNCT; use punctuation that matches the sentence structure.",gee_style_automatic,,r10-faith-00533,wrong_correction,"replace ""its name"" with ""It""",instruction-following text editor,coedit_large,"I 'd like to tell you about my favorite restaurant. It 's called "" Lemon "". I go there every week. It has different food than other restaurants. I 'd like chicken crispy with garlic sauce. It 's an excellent choice for me, and my favorite appitizer is sausage, and in order for dessert, I 'd like "" Vadge "" cake with chocolate sauce. I feel at ease when I go there. I enjoy classical music while having lunch, and the service is very good and all the staff are respectable. I can n't imagine one week without",,,,Does the explanation faithfully describe why the model made this specific edit?,,,"I 'd like to tell you about my favorite restaurant its name is "" Lemon "" I go there every week it has different food to other restaurants I 'd like chicken crispy with garlic sauce It 's an Excellent choice for me and My favorite appitizer is susage and in order that dessert I 'd like "" Vadge "" cake with chocolate sauce I feel at ease when I go there I enjoy classical music while having lunch about the service It 's very good and all the staff are respectable I ca n't imagine one week without going there that would drive me nuts I advise everyone to go there and enjoy their time there , also this restaurant has a relative advantage in hygiene really It 's excellent The striking thing for anyone despite all of these advantages the prices are not expensive .",edit_explanation_faithfulness,,
,,,EXPECT,M:DET,,The sentence has a grammar issue and should be improved.,generic,,r10-faith-00369,wrong_correction,"insert ""the""",instruction-following text editor,coedit_large,They were planning to steal a very precious thing from the museum tonight.,,,,Does the explanation faithfully describe why the model made this specific edit?,,,They were planning to steal a very precious thing from Museum tonight .,edit_explanation_faithfulness,,
,,,EXPECT,M:PUNCT,,"This edit should replace ""its name"" with ""[MASK]"" at source span [10,12) for M:PUNCT.",masked_target_template,,r10-faith-00531,wrong_correction,"replace ""its name"" with ""It""",instruction-following text editor,coedit_large,"I 'd like to tell you about my favorite restaurant. It 's called "" Lemon "". I go there every week. It has different food than other restaurants. I 'd like chicken crispy with garlic sauce. It 's an excellent choice for me, and my favorite appitizer is sausage, and in order for dessert, I 'd like "" Vadge "" cake with chocolate sauce. I feel at ease when I go there. I enjoy classical music while having lunch, and the service is very good and all the staff are respectable. I can n't imagine one week without",,,,Does the explanation faithfully describe why the model made this specific edit?,,,"I 'd like to tell you about my favorite restaurant its name is "" Lemon "" I go there every week it has different food to other restaurants I 'd like chicken crispy with garlic sauce It 's an Excellent choice for me and My favorite appitizer is susage and in order that dessert I 'd like "" Vadge "" cake with chocolate sauce I feel at ease when I go there I enjoy classical music while having lunch about the service It 's very good and all the staff are respectable I ca n't imagine one week without going there that would drive me nuts I advise everyone to go there and enjoy their time there , also this restaurant has a relative advantage in hygiene really It 's excellent The striking thing for anyone despite all of these advantages the prices are not expensive .",edit_explanation_faithfulness,,
,,,EXPECT,R:SPELL,,"Apply the grammar rule indicated by the local context. In this sentence, the evidence is around ""ablished"".",rule_grounded_automatic,,r10-faith-01054,wrong_correction,"replace ""ablished"" with ""abolished,""",instruction-following text editor,coedit_large,"In the end, I think if many people want the Monarchy to be abolished, a general election should be called and then see if the Monarchy should be abolished.",,,,Does the explanation faithfully describe why the model made this specific edit?,,,In the end I think if many people want the Monarchy to be ablished a general election should be called and then see if the Monarchy should be abolished .,edit_explanation_faithfulness,,
,,,EXPECT,M:DET,,Use an article or determiner licensed by the noun phrase. The explanation intentionally omits the target edit.,rule_only,,r10-faith-00362,wrong_correction,"insert ""the""",instruction-following text editor,coedit_large,They were planning to steal a very precious thing from the museum tonight.,,,,Does the explanation faithfully describe why the model made this specific edit?,,,They were planning to steal a very precious thing from Museum tonight .,edit_explanation_faithfulness,,
,,,EXPECT,M:PUNCT,,"This edit should replace ""community ,"" with ""community,"" for R:ORTH.",swapped_across_sentence,,r10-faith-00538,wrong_correction,"replace ""its name"" with ""It""",instruction-following text editor,coedit_large,"I 'd like to tell you about my favorite restaurant. It 's called "" Lemon "". I go there every week. It has different food than other restaurants. I 'd like chicken crispy with garlic sauce. It 's an excellent choice for me, and my favorite appitizer is sausage, and in order for dessert, I 'd like "" Vadge "" cake with chocolate sauce. I feel at ease when I go there. I enjoy classical music while having lunch, and the service is very good and all the staff are respectable. I can n't imagine one week without",,,,Does the explanation faithfully describe why the model made this specific edit?,,,"I 'd like to tell you about my favorite restaurant its name is "" Lemon "" I go there every week it has different food to other restaurants I 'd like chicken crispy with garlic sauce It 's an Excellent choice for me and My favorite appitizer is susage and in order that dessert I 'd like "" Vadge "" cake with chocolate sauce I feel at ease when I go there I enjoy classical music while having lunch about the service It 's very good and all the staff are respectable I ca n't imagine one week without going there that would drive me nuts I advise everyone to go there and enjoy their time there , also this restaurant has a relative advantage in hygiene really It 's excellent The striking thing for anyone despite all of these advantages the prices are not expensive .",edit_explanation_faithfulness,,
,,,EXPECT,M:PUNCT,,"The sentence should change from ""It"" back to ""its name"".",wrong_direction,,r10-faith-00536,wrong_correction,"replace ""its name"" with ""It""",instruction-following text editor,coedit_large,"I 'd like to tell you about my favorite restaurant. It 's called "" Lemon "". I go there every week. It has different food than other restaurants. I 'd like chicken crispy with garlic sauce. It 's an excellent choice for me, and my favorite appitizer is sausage, and in order for dessert, I 'd like "" Vadge "" cake with chocolate sauce. I feel at ease when I go there. I enjoy classical music while having lunch, and the service is very good and all the staff are respectable. I can n't imagine one week without",,,,Does the explanation faithfully describe why the model made this specific edit?,,,"I 'd like to tell you about my favorite restaurant its name is "" Lemon "" I go there every week it has different food to other restaurants I 'd like chicken crispy with garlic sauce It 's an Excellent choice for me and My favorite appitizer is susage and in order that dessert I 'd like "" Vadge "" cake with chocolate sauce I feel at ease when I go there I enjoy classical music while having lunch about the service It 's very good and all the staff are respectable I ca n't imagine one week without going there that would drive me nuts I advise everyone to go there and enjoy their time there , also this restaurant has a relative advantage in hygiene really It 's excellent The striking thing for anyone despite all of these advantages the prices are not expensive .",edit_explanation_faithfulness,,
,,,EXPECT,R:VERB,,Use a comma because every grammar error here is punctuation-related.,wrong_rule,,r10-faith-01187,wrong_correction,"replace ""dissappearing"" with ""dissappearing.""",instruction-following text editor,coedit_large,"We think that in the future, the planet will be in a bad condition and the trees will be dissappearing. After that, we will have wars.",,,,Does the explanation faithfully describe why the model made this specific edit?,,,"we think that in the future the planet will be in a bad condition and the trees will be dissappearing , after that we will have wars .",edit_explanation_faithfulness,,
,,,EXPECT,R:VERB,,"This edit should replace ""the"".",wrong_target,,r10-faith-01185,wrong_correction,"replace ""dissappearing"" with ""dissappearing.""",instruction-following text editor,coedit_large,"We think that in the future, the planet will be in a bad condition and the trees will be dissappearing. After that, we will have wars.",,,,Does the explanation faithfully describe why the model made this specific edit?,,,"we think that in the future the planet will be in a bad condition and the trees will be dissappearing , after that we will have wars .",edit_explanation_faithfulness,,
,,,EXPECT,R:PREP,,"This edit should replace ""at"" with ""in"" at source span [8,9) for R:PREP.",explicit_template,,r10-faith-01220,correct_correction,"replace ""at"" with ""in""",sequence-to-edit,gector_roberta_base,"In my community , we are very interested in the environment and ecological things .",,,,Does the explanation faithfully describe why the model made this specific edit?,,,"In my community , we are very interested at the environment and ecological things .",edit_explanation_faithfulness,,
,,,EXPECT,R:NOUN,,"The phrase near span [22,23) violates R:NOUN; use the noun number or noun form required by the sentence.",gee_style_automatic,,r10-faith-01413,correct_correction,"replace ""travel"" with ""journey""",sequence-to-edit,gector_roberta_base,"However , public transportation is much cheaper than buying a new car and for the adventurer who wants to have an exciting journey , then to see more action .",,,,Does the explanation faithfully describe why the model made this specific edit?,,,"However , public transportation is much cheaper than buying a new car and for the adventurer who wants to have an exciting travel for then to see more action .",edit_explanation_faithfulness,,
,,,EXPECT,R:NOUN,,The sentence has a grammar issue and should be improved.,generic,,r10-faith-01419,correct_correction,"replace ""travel"" with ""journey""",sequence-to-edit,gector_roberta_base,"However , public transportation is much cheaper than buying a new car and for the adventurer who wants to have an exciting journey , then to see more action .",,,,Does the explanation faithfully describe why the model made this specific edit?,,,"However , public transportation is much cheaper than buying a new car and for the adventurer who wants to have an exciting travel for then to see more action .",edit_explanation_faithfulness,,
,,,EXPECT,R:VERB,,"This edit should replace ""be dissappearing"" with ""[MASK]"" at source span [18,20) for R:VERB.",masked_target_template,,r10-faith-01821,correct_correction,"replace ""be dissappearing"" with ""disappear""",sequence-to-edit,gector_roberta_base,"We think that in the future the planet will be in a bad condition and the trees will disappear . After that , we will have wars .",,,,Does the explanation faithfully describe why the model made this specific edit?,,,"we think that in the future the planet will be in a bad condition and the trees will be dissappearing , after that we will have wars .",edit_explanation_faithfulness,,
,,,EXPECT,R:VERB:FORM,,"Use the verb form required by the subject and tense. In this sentence, the evidence is around ""travelling"".",rule_grounded_automatic,,r10-faith-02374,correct_correction,"replace ""travelling"" with ""to travel""",sequence-to-edit,gector_roberta_base,"I like travelling and visiting new places in my country and my dream is to travel to all the countries in the world . I have attended a lot of conferences in my field , so I think this program is a chance for experience which will help and inspire me for community service and the development of my society , as I hope to come back and teach others what I have learnt .",,,,Does the explanation faithfully describe why the model made this specific edit?,,,"I like travelling and visiting new places in my country and my dream is travelling to all the countries in the world also , I have attended a lot of conferences in my field so I think this program is a chance for experience which will help and inspire me for community service and the development of my society as I hope to come back and teach others what I have learnt .",edit_explanation_faithfulness,,
,,,EXPECT,R:NOUN,,Use the noun number or noun form required by the sentence. The explanation intentionally omits the target edit.,rule_only,,r10-faith-01412,correct_correction,"replace ""travel"" with ""journey""",sequence-to-edit,gector_roberta_base,"However , public transportation is much cheaper than buying a new car and for the adventurer who wants to have an exciting journey , then to see more action .",,,,Does the explanation faithfully describe why the model made this specific edit?,,,"However , public transportation is much cheaper than buying a new car and for the adventurer who wants to have an exciting travel for then to see more action .",edit_explanation_faithfulness,,
,,,EXPECT,R:VERB:FORM,,"This edit should replace ""community ,"" with ""community,"" for R:ORTH.",swapped_across_sentence,,r10-faith-06908,correct_correction,"replace ""names"" with ""named""",sequence-to-edit,gector_roberta_base,"The first one was named Amanda Junior after her mom , but she was a cheetah . She was 9 years old and she loved to run and she was the fastest in the family and had a lot of spots .",,,,Does the explanation faithfully describe why the model made this specific edit?,,,The first one was names Amanda junior after her mom but she was a cheetah .She was 9 years old and she loved to run and she was the fastest in the family and had a lot of spots .,edit_explanation_faithfulness,,
,,,EXPECT,R:NOUN:NUM,,"The sentence should change from ""areas"" back to ""area"".",wrong_direction,,r10-faith-02526,correct_correction,"replace ""area"" with ""areas""",sequence-to-edit,gector_roberta_base,"Additionally , our city government has prohibited smoking in public areas and those under 18 years old and provides a free session of talks or presentations to increase the awareness of a clean , safe , fresh environment in the city .",,,,Does the explanation faithfully describe why the model made this specific edit?,,,"Additionally , our city government has prohibited smoking in public area and under 18 years old and provides a free session of talks or presentations to increase the awareness of clean , safe , fresh environment to the city .",edit_explanation_faithfulness,,
,,,EXPECT,R:VERB:TENSE,,Use a comma because every grammar error here is punctuation-related.,wrong_rule,,r10-faith-02337,correct_correction,"replace ""get"" with ""got""",sequence-to-edit,gector_roberta_base,"I got a bit scared , so I searched for them outside in the streets .",,,,Does the explanation faithfully describe why the model made this specific edit?,,,I get a bit scared so I searched for them outside in the streets .,edit_explanation_faithfulness,,
,,,EXPECT,R:VERB:TENSE,,"This edit should replace ""the"".",wrong_target,,r10-faith-02335,correct_correction,"replace ""get"" with ""got""",sequence-to-edit,gector_roberta_base,"I got a bit scared , so I searched for them outside in the streets .",,,,Does the explanation faithfully describe why the model made this specific edit?,,,I get a bit scared so I searched for them outside in the streets .,edit_explanation_faithfulness,,
,,,EXPECT,M:PUNCT,,"This edit should insert "","" at source span [27,27) for M:PUNCT.",explicit_template,,r10-faith-01870,overcorrection,"insert "",""",sequence-to-edit,gector_roberta_base,"Additionally , people now continue to destroy more agriculture and forests in order to satisfy all their needs , which will distory the ecosystem diversity and biodiversity , especially the endangered species .",,,,Does the explanation faithfully describe why the model made this specific edit?,,,"Additionally , people now continue to destroy more agricultures and forest in order to satisfy all their needs , which will distory the ecosystem diversity and biodiversity especially the endangered species .",edit_explanation_faithfulness,,
,,,EXPECT,M:DET,,"The phrase near span [12,12) violates M:DET; use an article or determiner licensed by the noun phrase.",gee_style_automatic,,r10-faith-02533,overcorrection,"insert ""those""",sequence-to-edit,gector_roberta_base,"Additionally , our city government has prohibited smoking in public areas and those under 18 years old and provides a free session of talks or presentations to increase the awareness of a clean , safe , fresh environment in the city .",,,,Does the explanation faithfully describe why the model made this specific edit?,,,"Additionally , our city government has prohibited smoking in public area and under 18 years old and provides a free session of talks or presentations to increase the awareness of clean , safe , fresh environment to the city .",edit_explanation_faithfulness,,
,,,EXPECT,R:NOUN,,The sentence has a grammar issue and should be improved.,generic,,r10-faith-01489,overcorrection,"replace ""something"" with ""things""",sequence-to-edit,gector_roberta_base,"In conclusion , I think that this type of food and atmosphere is great for us , because normally we speak about books , work and studies , whereas with this type of environment , we can speak about ourselves , our family , our hobbies and everyone will get to know new things about other classmates .",,,,Does the explanation faithfully describe why the model made this specific edit?,,,"In conclusion , I think that this type of food and atmosphere is very for us , because normally we speak about books , work and studies , whereas with this type of environment we can speak about ourselves , our family , our hobbies and everyone will get to know new something about other classmates .",edit_explanation_faithfulness,,
,,,EXPECT,M:PUNCT,,"This edit should insert ""[MASK]"" at source span [20,20) for M:PUNCT[MASK]",masked_target_template,,r10-faith-02111,overcorrection,"insert "".""",sequence-to-edit,gector_roberta_base,"Public transportation . Day by day , folks are more crazy about their own vehicles , which leads to a dark future for public transportation .",,,,Does the explanation faithfully describe why the model made this specific edit?,,,public transportation . day by day folk are more crazy about own vehicles which leads dark future for public transportation,edit_explanation_faithfulness,,
,,,EXPECT,M:PUNCT,,"Use punctuation that matches the sentence structure. In this sentence, the evidence is around ""but"".",rule_grounded_automatic,,r10-faith-02304,overcorrection,"insert "",""",sequence-to-edit,gector_roberta_base,"Computers can offer escape from the humdrum routine of daily life by means of games , but they are mind - numbing and un - inventive .",,,,Does the explanation faithfully describe why the model made this specific edit?,,,Computers can offer escape from the humdrum routine of daily life by means of games but they are mind - numbing and un - inventive .,edit_explanation_faithfulness,,
,,,EXPECT,R:OTHER,,Apply the grammar rule indicated by the local context. The explanation intentionally omits the target edit.,rule_only,,r10-faith-02572,overcorrection,"replace ""At last"" with ""Finally""",sequence-to-edit,gector_roberta_base,"Finally , I was 10 out of 27 people .",,,,Does the explanation faithfully describe why the model made this specific edit?,,,"At last , I was 10 out of 27 people .",edit_explanation_faithfulness,,
,,,EXPECT,R:VERB,,"This edit should replace ""community ,"" with ""community,"" for R:ORTH.",swapped_across_sentence,,r10-faith-02458,overcorrection,"replace ""go"" with ""been""",sequence-to-edit,gector_roberta_base,"Luckily , the operation was fine and she stopped coming with me , and from that day I been on my own .",,,,Does the explanation faithfully describe why the model made this specific edit?,,,"Luckily the operation was fine and she stopped come with me , and since that day I go on my own .",edit_explanation_faithfulness,,
,,,EXPECT,U:CONJ,,"The sentence should change from """" back to ""and"".",wrong_direction,,r10-faith-02136,overcorrection,"delete ""and""",sequence-to-edit,gector_roberta_base,I took the sun for a very long time and then I went to a cafe and drank a drink .,,,,Does the explanation faithfully describe why the model made this specific edit?,,,I took the sun a very long time and then I went to a cafe and and I drank a drink .,edit_explanation_faithfulness,,
,,,EXPECT,M:PUNCT,,Use a comma because every grammar error here is punctuation-related.,wrong_rule,,r10-faith-01677,overcorrection,"insert "",""",sequence-to-edit,gector_roberta_base,"I love my family , especially my little sister . She is sixteen years old . I consider her my best friend because I usually tell her everything about my life .",,,,Does the explanation faithfully describe why the model made this specific edit?,,,"i love my family especially my little sister , she has sixteen years old , i consider her my best friend because i usually tell her everything about my life .",edit_explanation_faithfulness,,
,,,EXPECT,R:PUNCT,,"This edit should replace ""the"".",wrong_target,,r10-faith-01835,overcorrection,"replace "", after"" with "". After""",sequence-to-edit,gector_roberta_base,"We think that in the future the planet will be in a bad condition and the trees will disappear . After that , we will have wars .",,,,Does the explanation faithfully describe why the model made this specific edit?,,,"we think that in the future the planet will be in a bad condition and the trees will be dissappearing , after that we will have wars .",edit_explanation_faithfulness,,
,,,EXPECT,M:DET,,"This edit should insert ""the"" at source span [10,10) for M:DET.",explicit_template,,r10-faith-01430,wrong_correction,"insert ""the""",sequence-to-edit,gector_roberta_base,They were planning to steal a very precious thing from the museum tonight .,,,,Does the explanation faithfully describe why the model made this specific edit?,,,They were planning to steal a very precious thing from Museum tonight .,edit_explanation_faithfulness,,
