item_id,priority,disagreement_count,disagreement_dimensions,dataset,model_key,model_family,model_behavior,error_type,explanation_type,source,model_prediction,model_edit,explanation,A_edit_alignment,B_edit_alignment,A_edit_validity,B_edit_validity,A_rule_correctness,B_rule_correctness,A_evidence,B_evidence,A_faithfulness,B_faithfulness,A_notes,B_notes,final_edit_alignment,final_edit_validity,final_rule_correctness,final_evidence,final_faithfulness,adjudication_notes
r10-faith-03481,AGREE,0,,EXPECT,t5_base_grammar,sequence-to-sequence,overcorrection,R:ORTH,masked_target_template,"Sometimes we go to partyies in the city , I dance in the parties with my friends .","Sometimes we go to partyies in the city, and I dance in the parties with my friends.","replace ""friends ."" with ""friends.""","This edit should replace ""friends ."" with ""[MASK]"" at source span [16,18) for R:ORTH.",partially_correct,partially_correct,valid,valid,not_applicable,not_applicable,not_provided,not_provided,partially_faithful,partially_faithful,Target is masked.,Target is masked; explanation identifies the spacing/punctuation edit but gives no explicit rule.,,,,,,
r10-faith-05769,AGREE,0,,JFLEG,t5_base_grammar,sequence-to-sequence,wrong_correction,R:OTHER,generic,"Also the work of the media , television , magazines , and every stuff made for publicity affects the emotions of many people around the world , encouraging them to buy and buy anything they can . ","Also, the work of the media , television , magazines , and everything made for publicity affects the emotions of many people around the world , encouraging them to buy anything they can.","replace ""every stuff"" with ""everything""",The sentence has a grammar issue and should be improved.,incorrect,incorrect,valid,valid,not_applicable,not_applicable,not_provided,not_provided,unfaithful,unfaithful,,,,,,,,
r10-faith-00362,AGREE,0,,EXPECT,coedit_large,instruction-following text editor,wrong_correction,M:DET,rule_only,They were planning to steal a very precious thing from Museum tonight .,They were planning to steal a very precious thing from the museum tonight.,"insert ""the""",Use an article or determiner licensed by the noun phrase. The explanation intentionally omits the target edit.,partially_correct,partially_correct,valid,valid,partially_correct,partially_correct,not_provided,not_provided,partially_faithful,partially_faithful,"Explanation gives a generic article rule but omits the specific insertion of ""the"" before ""Museum"".",Explanation notes target omission; article rule is relevant but underspecified.,,,,,,
r10-faith-05411,AGREE,0,,JFLEG,gector_roberta_base,sequence-to-edit,correct_correction,M:DET,masked_target_template,"In the lecture , however , professor oppose the reading statement . ","In the lecture , however , the professor opposed the reading statement .","insert ""the""","This edit should insert ""[MASK]"" at source span [6,6) for M:DET.",partially_correct,partially_correct,valid,valid,not_applicable,not_applicable,not_provided,not_provided,partially_faithful,partially_faithful,Target word is masked.,"Target is masked and span notation is technical, but the insertion edit is correctly identified.",,,,,,
r10-faith-01491,AGREE,0,,EXPECT,gector_roberta_base,sequence-to-edit,wrong_correction,M:PUNCT,masked_target_template,"I 'd like to tell you about my favorite restaurant its name is "" Lemon "" I go there every week it has different food to other restaurants I 'd like chicken crispy with garlic sauce It 's an Excellent choice for me and My favorite appitizer is susage and in order that dessert I 'd like "" Vadge "" cake with chocolate sauce I feel at ease when I go there I enjoy classical music while having lunch about the service It 's very good and all the staff are respectable I ca n't imagine one week without going there that would drive me nuts I advise everyone to go there and enjoy their time there , also this restaurant has a relative advantage in hygiene really It 's excellent The striking thing for anyone despite all of these advantages the prices are not expensive .","I 'd like to tell you about my favorite restaurant . Its name is "" Lemon "" . I go there every week . It has different food than other restaurants . I 'd like chicken crispy with garlic sauce . It 's an excellent choice for me and my favorite appitizer is susage and for dessert , I 'd like "" Vadge "" cake with chocolate sauce . I feel at ease when I go there I enjoy classical music while having lunch about the service It 's very good and all the staff are respectable I ca n't imagine one week without going there that would drive me nuts I advise everyone to go there and enjoy their time there , also this restaurant has a relative advantage in hygiene really It 's excellent The striking thing for anyone despite all of these advantages the prices are not expensive .","replace ""its"" with "". Its""","This edit should replace ""its"" with ""[MASK]"" at source span [10,11) for M:PUNCT.",partially_correct,partially_correct,valid,valid,not_applicable,not_applicable,not_provided,not_provided,partially_faithful,partially_faithful,Target word is masked.,Target is masked; explanation identifies the span and punctuation-related edit but not the full replacement.,,,,,,
r10-faith-03972,AGREE,0,,EXPECT,t5_base_grammar,sequence-to-sequence,overcorrection,R:NOUN,rule_only,public transportation . day by day folk are more crazy about own vehicles which leads dark future for public transportation,"Public transportation. Day by day people are more crazy about own vehicles, which leads to a dark future for public transportation.","replace ""vehicles"" with ""vehicles,""",Use the noun number or noun form required by the sentence. The explanation intentionally omits the target edit.,incorrect,incorrect,valid,valid,incorrect,incorrect,not_provided,not_provided,unfaithful,unfaithful,"Explanation describes noun form, but the edit adds a comma after ""vehicles"".",Explanation does not describe the comma insertion and cites an irrelevant noun-form rule.,,,,,,
r10-faith-06030,AGREE,0,,JFLEG,t5_base_grammar,sequence-to-sequence,correct_correction,U:PREP,explicit_template,because they spent time unmeaningful subjects . ,They spent time on unmeaningful subjects.,"delete ""because""","This edit should delete ""because"" at source span [0,1) for U:PREP.",correct,correct,valid,valid,not_applicable,not_applicable,not_provided,not_provided,partially_faithful,partially_faithful,,"The explanation identifies the deletion but gives no clear linguistic rule; ""U:PREP"" is opaque.",,,,,,
r10-faith-01857,AGREE,0,,EXPECT,gector_roberta_base,sequence-to-edit,wrong_correction,R:SPELL,wrong_rule,"Additionally , people now continue to destroy more agricultures and forest in order to satisfy all their needs , which will distory the ecosystem diversity and biodiversity especially the endangered species .","Additionally , people now continue to destroy more agriculture and forests in order to satisfy all their needs , which will distory the ecosystem diversity and biodiversity , especially the endangered species .","replace ""agricultures"" with ""agriculture""",Use a comma because every grammar error here is punctuation-related.,incorrect,incorrect,valid,valid,incorrect,incorrect,incorrect,incorrect,unfaithful,unfaithful,"Explanation describes the comma edit, not the agriculture noun-number edit.","Explanation describes a comma/punctuation edit, not the noun-number/lexical edit.",,,,,,
r10-faith-01870,AGREE,0,,EXPECT,gector_roberta_base,sequence-to-edit,overcorrection,M:PUNCT,explicit_template,"Additionally , people now continue to destroy more agricultures and forest in order to satisfy all their needs , which will distory the ecosystem diversity and biodiversity especially the endangered species .","Additionally , people now continue to destroy more agriculture and forests in order to satisfy all their needs , which will distory the ecosystem diversity and biodiversity , especially the endangered species .","insert "",""","This edit should insert "","" at source span [27,27) for M:PUNCT.",correct,correct,valid,valid,not_applicable,not_applicable,not_provided,not_provided,partially_faithful,partially_faithful,,,,,,,,
r10-faith-02815,AGREE,0,,EXPECT,t5_base_grammar,sequence-to-sequence,correct_correction,R:OTHER,wrong_target,"Technology has chanched people 's lives a lot . In fact we can think how different is our life compared either to our parents ' or our grandparents ' lives . For example my parents did n't watch tv , because there was n't any tv in the world when they were young.but that is n't the only difference : we can think about the mobile phone , the computer ed finally the internet.our grandparents could n't have imagined a strange machine like the computer in their lives .","Technology has changed people's lives a lot. In fact, we can think about how different our lives are compared to our parents' or grandparents' lives. For example, my parents didn't watch tv because there wasn't any tv in the world when they were young.but that isn't the only difference : we can think about the mobile phone , the computer and finally the internet.our grandparents could n't have imagined a strange machine like the computer in their lives.","replace ""ed"" with ""and""","This edit should replace ""the"".",incorrect,incorrect,valid,valid,not_applicable,not_applicable,not_provided,not_provided,unfaithful,unfaithful,"Explanation refers to replacing ""the"" instead of ""ed"".","Explanation refers to replacing ""the"", not the actual ""ed""→""and"" edit.",,,,,,
