item_id,task_type,dataset,model_key,model_family,model_behavior,error_type,explanation_type,source,model_prediction,model_edit,explanation,instance_id,edit_id,automatic_label,automatic_negative_type,annotator_a_edit_alignment,annotator_b_edit_alignment,final_edit_alignment,annotator_a_edit_validity,annotator_b_edit_validity,final_edit_validity,annotator_a_rule_correctness,annotator_b_rule_correctness,final_rule_correctness,annotator_a_evidence,annotator_b_evidence,final_evidence,annotator_a_faithfulness,annotator_b_faithfulness,final_faithfulness,A_notes,B_notes,adjudication_notes,gold_source,gold_status
r10-faith-00293,edit_explanation_faithfulness,EXPECT,coedit_large,instruction-following text editor,overcorrection,R:OTHER,gee_style_automatic,We should use of public transport because at the present there are a lot of cars in the world that pollute and unfortunately we are harming the environment and the world .,"We should use public transport because, at the present, there are a lot of cars in the world that pollute and, unfortunately, we are harming the environment and the world.","replace ""and"" with ""and,""","The phrase near span [21,22) violates R:OTHER; apply the grammar rule indicated by the local context.",EXPECT::expect-test-00002::coedit_large::00029::21-22::replace::gee_style_automatic,EXPECT::expect-test-00002::coedit_large::00029::21-22::replace,faithful_candidate,,partially_correct,incorrect,incorrect,stylistic,stylistic,valid,not_applicable,not_applicable,not_applicable,not_provided,not_provided,not_provided,partially_faithful,unfaithful,unfaithful,"Comma after ""and"" is optional punctuation around parenthetical ""unfortunately"".",Explanation is generic and does not identify the comma insertion after 'and'.,"Explanation is generic and does not describe the comma insertion after ""and"".",adjudicated_disagreement,adjudicated
r10-faith-00429,edit_explanation_faithfulness,EXPECT,coedit_large,instruction-following text editor,overcorrection,R:OTHER,generic,"In conclusion , I think that this type of food and atmosphere is very for us , because normally we speak about books , work and studies , whereas with this type of environment we can speak about ourselves , our family , our hobbies and everyone will get to know new something about other classmates .","In conclusion, I think that this type of food and atmosphere is very good for us because normally, we speak about books, work, and studies, whereas with this type of environment, we can speak about ourselves, our family, our hobbies, and everyone will get to know something new about other classmates.","replace ""normally"" with ""normally,""",The sentence has a grammar issue and should be improved.,EXPECT::expect-test-00007::coedit_large::00042::18-19::replace::generic,EXPECT::expect-test-00007::coedit_large::00042::18-19::replace,negative,generic,incorrect,incorrect,incorrect,stylistic,stylistic,stylistic,not_applicable,not_applicable,not_applicable,not_provided,not_provided,not_provided,unfaithful,unfaithful,unfaithful,"Comma after ""normally"" is optional; explanation is generic.",Generic explanation does not describe the comma insertion; edit is punctuation/stylistic.,,double_annotator_agreement,accepted_by_agreement_not_blind_audited
r10-faith-00271,edit_explanation_faithfulness,EXPECT,coedit_large,instruction-following text editor,overcorrection,R:OTHER,masked_target_template,We should use of public transport because at the present there are a lot of cars in the world that pollute and unfortunately we are harming the environment and the world .,"We should use public transport because, at the present, there are a lot of cars in the world that pollute and, unfortunately, we are harming the environment and the world.","replace ""because"" with ""because,""","This edit should replace ""because"" with ""[MASK]"" at source span [6,7) for R:OTHER.",EXPECT::expect-test-00002::coedit_large::00027::6-7::replace::masked_target_template,EXPECT::expect-test-00002::coedit_large::00027::6-7::replace,faithful_positive_masked,,partially_correct,partially_correct,partially_correct,stylistic,invalid,stylistic,not_applicable,not_applicable,not_applicable,not_provided,not_provided,not_provided,partially_faithful,partially_faithful,partially_faithful,Target is masked; comma after because is an optional punctuation/style choice with parenthetical phrasing.,"Target is masked; adding a comma directly after ""because"" here is not standard punctuation.",Target is masked; comma after “because” is optional punctuation with the parenthetical phrase.,adjudicated_disagreement,adjudicated
r10-faith-00214,edit_explanation_faithfulness,EXPECT,coedit_large,instruction-following text editor,overcorrection,R:NOUN,rule_grounded_automatic,"Technology has chanched people 's lives a lot . In fact we can think how different is our life compared either to our parents ' or our grandparents ' lives . For example my parents did n't watch tv , because there was n't any tv in the world when they were young.but that is n't the only difference : we can think about the mobile phone , the computer ed finally the internet.our grandparents could n't have imagined a strange machine like the computer in their lives .","Technology has changed people's lives a lot. In fact, we can think how different our lives are compared to either our parents' or our grandparents' lives. For example, my parents didn't watch tv because there wasn't any TV in the world when they were young. But that isn't the only difference: we can think about the mobile phone, the computer, and finally the internet. Our grandparents couldn't have imagined a strange machine like the computer in their lives.","replace ""computer"" with ""computer,""","Use the noun number or noun form required by the sentence. In this sentence, the evidence is around ""computer"".",EXPECT::expect-test-00001::coedit_large::00021::69-70::replace::rule_grounded_automatic,EXPECT::expect-test-00001::coedit_large::00021::69-70::replace,faithful_candidate,,incorrect,correct,incorrect,stylistic,valid,stylistic,incorrect,incorrect,incorrect,incorrect,partially_correct,partially_correct,unfaithful,unfaithful,unfaithful,"The edit adds a serial comma, but the explanation wrongly discusses noun number or form.",Edit adds a comma for list punctuation; noun-number rule is irrelevant.,The edit adds a comma after “computer”; explanation wrongly discusses noun form. The comma is optional list punctuation.,adjudicated_disagreement,adjudicated
r10-faith-00512,edit_explanation_faithfulness,EXPECT,coedit_large,instruction-following text editor,overcorrection,R:ORTH,rule_only,"In conclusion , I think that this type of food and atmosphere is very for us , because normally we speak about books , work and studies , whereas with this type of environment we can speak about ourselves , our family , our hobbies and everyone will get to know new something about other classmates .","In conclusion, I think that this type of food and atmosphere is very good for us because normally, we speak about books, work, and studies, whereas with this type of environment, we can speak about ourselves, our family, our hobbies, and everyone will get to know something new about other classmates.","replace ""classmates ."" with ""classmates.""","Correct spelling, casing, spacing, or another orthographic form. The explanation intentionally omits the target edit.",EXPECT::expect-test-00007::coedit_large::00051::55-57::replace::rule_only,EXPECT::expect-test-00007::coedit_large::00051::55-57::replace,partially_informative_positive,,incorrect,incorrect,incorrect,valid,valid,valid,not_applicable,not_applicable,not_applicable,not_provided,not_provided,not_provided,unfaithful,unfaithful,unfaithful,Explanation gives only a broad orthographic category and does not identify this spacing-before-period edit.,Explanation is generic and does not identify the specific spacing/punctuation edit.,,double_annotator_agreement,accepted_by_agreement_not_blind_audited
r10-faith-00968,edit_explanation_faithfulness,EXPECT,coedit_large,instruction-following text editor,overcorrection,U:PUNCT,swapped_across_sentence,"i love my family especially my little sister , she has sixteen years old , i consider her my best friend because i usually tell her everything about my life .","I love my family, especially my little sister. She is sixteen years old. I consider her my best friend because I usually tell her everything about my life.","replace "", i"" with ""I""","This edit should replace ""community ,"" with ""community,"" for R:ORTH.",EXPECT::expect-test-00014::coedit_large::00096::14-16::replace::swapped_across_sentence,EXPECT::expect-test-00014::coedit_large::00096::14-16::replace,negative,swapped_across_sentence,incorrect,incorrect,incorrect,valid,valid,valid,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,unfaithful,unfaithful,unfaithful,"Explanation is swapped from another sentence; it cites nonexistent ""community"" edit.",Explanation refers to an unrelated token/span and does not describe the displayed edit.,,double_annotator_agreement,accepted_by_agreement_not_blind_audited
r10-faith-01156,edit_explanation_faithfulness,EXPECT,coedit_large,instruction-following text editor,overcorrection,R:ORTH,wrong_direction,"I live in San Miguel Almoloyan , this is a village in the municipality of Almoloya de Juarez in the State of Mexico . Caring of the environment is very important and in my village they take different actions to care for it .","I live in San Miguel Almoloyan, this is a village in the municipality of Almoloya de Juarez in the State of Mexico. Caring of the environment is very important, and in my village, they take different actions to care for it.","replace ""it ."" with ""it.""","The sentence should change from ""it."" back to ""it ."".",EXPECT::expect-test-00018::coedit_large::00115::42-44::replace::wrong_direction,EXPECT::expect-test-00018::coedit_large::00115::42-44::replace,negative,wrong_direction,incorrect,incorrect,incorrect,valid,valid,valid,not_applicable,incorrect,not_applicable,not_provided,not_provided,not_provided,unfaithful,unfaithful,unfaithful,Explanation reverses the edit direction.,Explanation reverses the edit direction and misstates the target.,Explanation reverses the edit direction; the model removes the space before the period.,adjudicated_disagreement,adjudicated
r10-faith-00517,edit_explanation_faithfulness,EXPECT,coedit_large,instruction-following text editor,overcorrection,R:ORTH,wrong_rule,"In conclusion , I think that this type of food and atmosphere is very for us , because normally we speak about books , work and studies , whereas with this type of environment we can speak about ourselves , our family , our hobbies and everyone will get to know new something about other classmates .","In conclusion, I think that this type of food and atmosphere is very good for us because normally, we speak about books, work, and studies, whereas with this type of environment, we can speak about ourselves, our family, our hobbies, and everyone will get to know something new about other classmates.","replace ""classmates ."" with ""classmates.""",Use a comma because every grammar error here is punctuation-related.,EXPECT::expect-test-00007::coedit_large::00051::55-57::replace::wrong_rule,EXPECT::expect-test-00007::coedit_large::00051::55-57::replace,negative,wrong_rule,incorrect,incorrect,incorrect,valid,stylistic,valid,incorrect,incorrect,incorrect,not_provided,incorrect,not_provided,unfaithful,unfaithful,unfaithful,"Explanation calls for a comma, but the edit removes the space before the final period.",Edit removes space before final period; explanation incorrectly cites a comma and overgeneralizes.,"Explanation says to use a comma, but the edit removes the space before a period.",adjudicated_disagreement,adjudicated
r10-faith-00395,edit_explanation_faithfulness,EXPECT,coedit_large,instruction-following text editor,overcorrection,R:ORTH,wrong_target,"In conclusion , I think that this type of food and atmosphere is very for us , because normally we speak about books , work and studies , whereas with this type of environment we can speak about ourselves , our family , our hobbies and everyone will get to know new something about other classmates .","In conclusion, I think that this type of food and atmosphere is very good for us because normally, we speak about books, work, and studies, whereas with this type of environment, we can speak about ourselves, our family, our hobbies, and everyone will get to know something new about other classmates.","replace ""conclusion ,"" with ""conclusion,""","This edit should replace ""the"".",EXPECT::expect-test-00007::coedit_large::00039::1-3::replace::wrong_target,EXPECT::expect-test-00007::coedit_large::00039::1-3::replace,negative,wrong_target,incorrect,incorrect,incorrect,valid,valid,valid,not_applicable,not_applicable,not_applicable,not_provided,not_provided,not_provided,unfaithful,unfaithful,unfaithful,"Explanation refers to replacing ""the"", not the punctuation spacing edit.","Explanation refers to replacing ""the,"" which is unrelated to the spacing/punctuation edit.",,double_annotator_agreement,accepted_by_agreement_not_blind_audited
r10-faith-00360,edit_explanation_faithfulness,EXPECT,coedit_large,instruction-following text editor,wrong_correction,M:DET,explicit_template,They were planning to steal a very precious thing from Museum tonight .,They were planning to steal a very precious thing from the museum tonight.,"insert ""the""","This edit should insert ""the"" at source span [10,10) for M:DET.",EXPECT::expect-test-00005::coedit_large::00036::10-10::insert::explicit_template,EXPECT::expect-test-00005::coedit_large::00036::10-10::insert,faithful_positive,,correct,correct,correct,valid,valid,valid,not_applicable,not_applicable,not_applicable,not_provided,not_provided,not_provided,partially_faithful,partially_faithful,partially_faithful,,,,double_annotator_agreement,accepted_by_agreement_not_blind_audited
r10-faith-00533,edit_explanation_faithfulness,EXPECT,coedit_large,instruction-following text editor,wrong_correction,M:PUNCT,gee_style_automatic,"I 'd like to tell you about my favorite restaurant its name is "" Lemon "" I go there every week it has different food to other restaurants I 'd like chicken crispy with garlic sauce It 's an Excellent choice for me and My favorite appitizer is susage and in order that dessert I 'd like "" Vadge "" cake with chocolate sauce I feel at ease when I go there I enjoy classical music while having lunch about the service It 's very good and all the staff are respectable I ca n't imagine one week without going there that would drive me nuts I advise everyone to go there and enjoy their time there , also this restaurant has a relative advantage in hygiene really It 's excellent The striking thing for anyone despite all of these advantages the prices are not expensive .","I 'd like to tell you about my favorite restaurant. It 's called "" Lemon "". I go there every week. It has different food than other restaurants. I 'd like chicken crispy with garlic sauce. It 's an excellent choice for me, and my favorite appitizer is sausage, and in order for dessert, I 'd like "" Vadge "" cake with chocolate sauce. I feel at ease when I go there. I enjoy classical music while having lunch, and the service is very good and all the staff are respectable. I can n't imagine one week without","replace ""its name"" with ""It""","The phrase near span [10,12) violates M:PUNCT; use punctuation that matches the sentence structure.",EXPECT::expect-test-00008::coedit_large::00053::10-12::replace::gee_style_automatic,EXPECT::expect-test-00008::coedit_large::00053::10-12::replace,faithful_candidate,,incorrect,incorrect,incorrect,stylistic,invalid,stylistic,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,unfaithful,unfaithful,unfaithful,"Explanation describes a punctuation issue, not the replacement of ""its name"" with ""It""; the wording change is optional.","Explanation describes punctuation, but the edit replaces words; prediction is also truncated.","Explanation describes a punctuation edit, not the replacement of ""its name"" with ""It"".",adjudicated_disagreement,adjudicated
r10-faith-00369,edit_explanation_faithfulness,EXPECT,coedit_large,instruction-following text editor,wrong_correction,M:DET,generic,They were planning to steal a very precious thing from Museum tonight .,They were planning to steal a very precious thing from the museum tonight.,"insert ""the""",The sentence has a grammar issue and should be improved.,EXPECT::expect-test-00005::coedit_large::00036::10-10::insert::generic,EXPECT::expect-test-00005::coedit_large::00036::10-10::insert,negative,generic,incorrect,incorrect,incorrect,valid,valid,valid,not_applicable,not_applicable,not_applicable,not_provided,not_provided,not_provided,unfaithful,unfaithful,unfaithful,,,,double_annotator_agreement,accepted_by_agreement_not_blind_audited
r10-faith-00531,edit_explanation_faithfulness,EXPECT,coedit_large,instruction-following text editor,wrong_correction,M:PUNCT,masked_target_template,"I 'd like to tell you about my favorite restaurant its name is "" Lemon "" I go there every week it has different food to other restaurants I 'd like chicken crispy with garlic sauce It 's an Excellent choice for me and My favorite appitizer is susage and in order that dessert I 'd like "" Vadge "" cake with chocolate sauce I feel at ease when I go there I enjoy classical music while having lunch about the service It 's very good and all the staff are respectable I ca n't imagine one week without going there that would drive me nuts I advise everyone to go there and enjoy their time there , also this restaurant has a relative advantage in hygiene really It 's excellent The striking thing for anyone despite all of these advantages the prices are not expensive .","I 'd like to tell you about my favorite restaurant. It 's called "" Lemon "". I go there every week. It has different food than other restaurants. I 'd like chicken crispy with garlic sauce. It 's an excellent choice for me, and my favorite appitizer is sausage, and in order for dessert, I 'd like "" Vadge "" cake with chocolate sauce. I feel at ease when I go there. I enjoy classical music while having lunch, and the service is very good and all the staff are respectable. I can n't imagine one week without","replace ""its name"" with ""It""","This edit should replace ""its name"" with ""[MASK]"" at source span [10,12) for M:PUNCT.",EXPECT::expect-test-00008::coedit_large::00053::10-12::replace::masked_target_template,EXPECT::expect-test-00008::coedit_large::00053::10-12::replace,faithful_positive_masked,,partially_correct,partially_correct,partially_correct,valid,invalid,valid,incorrect,incorrect,not_applicable,not_provided,incorrect,not_provided,unfaithful,unfaithful,partially_faithful,"Target is masked, and the explanation incorrectly categorizes the word replacement as punctuation.","Target is masked, edit span/operation misdescribed, and replacing ""its name"" with ""It"" alone is ungrammatical.",Target is masked; source span matches. No real rule or contextual evidence is provided.,adjudicated_disagreement,adjudicated
r10-faith-01054,edit_explanation_faithfulness,EXPECT,coedit_large,instruction-following text editor,wrong_correction,R:SPELL,rule_grounded_automatic,In the end I think if many people want the Monarchy to be ablished a general election should be called and then see if the Monarchy should be abolished .,"In the end, I think if many people want the Monarchy to be abolished, a general election should be called and then see if the Monarchy should be abolished.","replace ""ablished"" with ""abolished,""","Apply the grammar rule indicated by the local context. In this sentence, the evidence is around ""ablished"".",EXPECT::expect-test-00016::coedit_large::00105::13-14::replace::rule_grounded_automatic,EXPECT::expect-test-00016::coedit_large::00105::13-14::replace,faithful_candidate,,partially_correct,incorrect,partially_correct,valid,invalid,valid,not_applicable,not_applicable,not_applicable,not_provided,incorrect,not_provided,partially_faithful,unfaithful,partially_faithful,"Explanation identifies the source area but gives no target, operation, or specific rule.",Edit incorrectly attaches a comma to the corrected word; explanation is generic and misidentifies evidence.,"Explanation identifies the edited token but gives no target, rule, or specific evidence.",adjudicated_disagreement,adjudicated
r10-faith-00362,edit_explanation_faithfulness,EXPECT,coedit_large,instruction-following text editor,wrong_correction,M:DET,rule_only,They were planning to steal a very precious thing from Museum tonight .,They were planning to steal a very precious thing from the museum tonight.,"insert ""the""",Use an article or determiner licensed by the noun phrase. The explanation intentionally omits the target edit.,EXPECT::expect-test-00005::coedit_large::00036::10-10::insert::rule_only,EXPECT::expect-test-00005::coedit_large::00036::10-10::insert,partially_informative_positive,,partially_correct,partially_correct,partially_correct,valid,valid,valid,partially_correct,partially_correct,partially_correct,not_provided,not_provided,not_provided,partially_faithful,partially_faithful,partially_faithful,"Explanation gives a generic article rule but omits the specific insertion of ""the"" before ""Museum"".",Explanation notes target omission; article rule is relevant but underspecified.,,double_annotator_agreement,accepted_by_agreement_not_blind_audited
r10-faith-00538,edit_explanation_faithfulness,EXPECT,coedit_large,instruction-following text editor,wrong_correction,M:PUNCT,swapped_across_sentence,"I 'd like to tell you about my favorite restaurant its name is "" Lemon "" I go there every week it has different food to other restaurants I 'd like chicken crispy with garlic sauce It 's an Excellent choice for me and My favorite appitizer is susage and in order that dessert I 'd like "" Vadge "" cake with chocolate sauce I feel at ease when I go there I enjoy classical music while having lunch about the service It 's very good and all the staff are respectable I ca n't imagine one week without going there that would drive me nuts I advise everyone to go there and enjoy their time there , also this restaurant has a relative advantage in hygiene really It 's excellent The striking thing for anyone despite all of these advantages the prices are not expensive .","I 'd like to tell you about my favorite restaurant. It 's called "" Lemon "". I go there every week. It has different food than other restaurants. I 'd like chicken crispy with garlic sauce. It 's an excellent choice for me, and my favorite appitizer is sausage, and in order for dessert, I 'd like "" Vadge "" cake with chocolate sauce. I feel at ease when I go there. I enjoy classical music while having lunch, and the service is very good and all the staff are respectable. I can n't imagine one week without","replace ""its name"" with ""It""","This edit should replace ""community ,"" with ""community,"" for R:ORTH.",EXPECT::expect-test-00008::coedit_large::00053::10-12::replace::swapped_across_sentence,EXPECT::expect-test-00008::coedit_large::00053::10-12::replace,negative,swapped_across_sentence,incorrect,incorrect,incorrect,acceptable_alternative,uncertain,valid,incorrect,not_applicable,incorrect,incorrect,not_provided,incorrect,unfaithful,unfaithful,unfaithful,Explanation is swapped from another item; the pronoun rewrite is acceptable with accompanying edits.,Explanation refers to a different edit/span and does not match the current model edit.,Explanation concerns an unrelated punctuation edit from another sentence.,adjudicated_disagreement,adjudicated
